"Cluster","Sac_Learner_Coef","Sac_Learner_P.Value","Sac_Learner_adj.P.Val","B_Sac_Learner","Sac_Learner_Ratio","Sex_Coef","Sex_P.Value","Sex_adj.P.Val","B_Sex","Sex_Ratio","AveExpr","PropMean_Learner","PropMean_NonLearner","PropMean_Male","PropMean_Female","Direct_Ratio_Learner_NonLearner","Direct_Ratio_Male_Female"
"TH Prkcd Grin2c Glut_5",-0.00422604767455107,0.00182975826715395,0.0349718147856318,-1.2692659402043,0.99707501310361,0.00907711564254689,0.0266613827381082,0.874186788304055,-4.33550303988296,1.00631161192179,-5.34788041331533,0.00722937560092645,0.00276910239696987,0.00484030024685156,0.0071492819657999,2.61072888053446,0.67703306010396
"GPi Tbr1 Cngb3 Gaba-Glut",0.014457515499743,0.00289275977145454,0.0349718147856318,-1.66694836442955,1.01007156634131,0.004634281955121,0.0340304566678644,0.874186788304055,-4.36247925004016,1.003217404241,-5.99777398361872,0.00730367514334486,0.00171930050854375,0.00461110092896614,0.0068301353498925,4.24805035946339,0.67511120830698
"PO-MEA Slc17a7 Glut",-0.0106942932019008,0.00334032073997423,0.0349718147856318,-1.7917761214772,0.992614687261285,0.00118468652543073,0.0403470825371102,0.874186788304055,-4.38129219735399,1.00082149937087,-5.35454040458376,0.0190960512593216,0.00346200848712372,0.0110341154372492,0.018425066631026,5.51588805467859,0.598864343788526
"RT-ZI Gnb3 Gaba_1",0.0114256213542804,0.00368530735169898,0.0349718147856318,-1.87694131517424,1.00795108050642,0.000828045377030998,0.145403049676538,0.917543559479275,-4.52050162696864,1.00057412206348,-5.25500594407969,0.015607220752604,0.00427245418672562,0.00954632685645126,0.0153906861087536,3.65298726925971,0.620266490330258
"TH Prkcd Grin2c Glut_3",0.00621605433979357,0.00385167475679999,0.0349718147856318,-1.91609826829816,1.00431793607707,0.00337806092969285,0.17191401262017,0.917543559479275,-4.53796286345165,1.0023442368457,-3.4035807803363,0.0459532783589978,0.0212436962401901,0.0326962290076798,0.045536752341465,2.16314890965446,0.718018464788652
"TH Prkcd Grin2c Glut_7",-0.00573117289188593,0.00390332874493323,0.0349718147856318,-1.92762540558174,0.996035333792692,-0.00249152038616674,0.179515871925264,0.917543559479275,-4.54240146236019,0.998274500058736,-4.11805772050684,0.0153469006132232,0.0270275920667357,0.0213603296216013,0.0158605897270404,0.567823451505745,1.34675506959142
"Hist Gaba",-0.0152731162349739,0.00425397996624381,0.0349718147856318,-2.00201443772488,0.989469322495368,0.00209891620084122,0.189411982990752,0.917543559479275,-4.54789601556999,1.00145591666594,-4.36575311966268,0.0125482858691067,0.0265731765082967,0.0192671643190407,0.0137918001211324,0.472216254055623,1.3970014174958
"ZI-PVH-SBPV Pax6-Prox1 Gaba",0.011004429699582,0.00430422335823161,0.0349718147856318,-2.01124427771133,1.00765685434939,0.00157770062237286,0.232457278505822,0.917543559479275,-4.56851132392922,1.00109417691342,-5.39710768592685,0.00608138953923732,0.0125179950567204,0.00842658091003609,0.00757506661900844,0.485811786287013,1.11241013892748
"AD Serpinb7 Glut",-0.0233799383201973,0.00531526897260268,0.0383880536910194,-2.19331904547838,0.983924868172383,0.00650349582139382,0.239898329334291,0.917543559479275,-4.57160380985442,1.00451805556714,-6.70269729754508,0.00380698619587465,0.000898242710495788,0.00256456308096749,0.00336025394331063,4.23826005086462,0.763205139918918
"TH-PVT-RE Ntrk1-Nox4 Glut",-0.00591515120382044,0.00680305801616273,0.0438753287408244,-2.40641109789172,0.995908323433385,0.00174921087046241,0.245532528320623,0.917543559479275,-4.57390148923225,1.00121319591055,-3.79362261743563,0.0355384830238425,0.013841644787282,0.0227176851701081,0.0366479040533752,2.56750433709266,0.619890434580415
"TH Prkcd Grin2c Glut_4",-0.0121976806426721,0.00753978646115292,0.0438753287408244,-2.49456717622052,0.991580853255773,0.000977611190196625,0.255656353435652,0.917543559479275,-4.57784630585935,1.00067785808219,-4.08118597497429,0.0218671978825825,0.012288389453943,0.0178347297644043,0.0203223522356156,1.77950072013432,0.877591804217841
"PH-LHA-PVH-SO-PVa Nxph4 Glut",-0.00434209112812664,0.0087379027064538,0.0438753287408244,-2.61990690524282,0.996994816408187,-0.000965359070943386,0.286550974475442,0.917543559479275,-4.58880843815194,0.999331087903261,-6.22147198778753,0.00298106733443343,0.00792871129581484,0.00459418227263017,0.00436617888513722,0.375983841914761,1.05222034953013
"TRS-BAC Sln Glut",-0.00322108883158431,0.00877506574816488,0.0438753287408244,-2.62434917925312,0.997769801953421,-0.00279618059710901,0.308787965719306,0.917543559479275,-4.5958339986236,0.998063712331115,-5.77687499338098,0.00320213272915676,0.00633464382217126,0.00466938566740711,0.00352166793279129,0.505495307873395,1.325901747842
"ZI Mixed Gaba",-0.0187901748369439,0.0120449577231995,0.053583919572136,-2.89402153955477,0.987060093190606,-0.000454800835220544,0.310031270873129,0.917543559479275,-4.59620791815231,0.999684805767493,-4.86023290933737,0.0116588401042127,0.00588675920515286,0.00886988307577032,0.011176730771662,1.98051928028709,0.793602642577685
"PVpo-VMPO-MPN Hmx2 Gaba",-0.0100950066967989,0.0123655199012622,0.053583919572136,-2.91630171661315,0.993027098850549,-0.00252742770193953,0.344258616968087,0.917543559479275,-4.60580337647728,0.998249654259305,-6.52756068840361,0.00192263400606165,0.000954359883845663,0.00136719033821472,0.00195125013184681,2.01457965554278,0.700674052957379
"TH Prkcd Grin2c Glut_8",-0.0159359607541461,0.0183841377297138,0.0746855595269622,-3.2509456055756,0.989014816412133,0.00133677053882167,0.35174875930843,0.917543559479275,-4.60773781275282,1.00092700813673,-3.49164329036093,0.036105501475139,0.0230992082220435,0.0290536534343753,0.0359784849145904,1.56306229755026,0.807528541108556
"Mixed Meis2 Gaba",0.00772329598392498,0.0211057176295061,0.0806983321128175,-3.3665897681805,1.00536773578348,-0.00570951739210415,0.39249640398695,0.917543559479275,-4.61736536626515,0.996050284842102,-3.37094070067957,0.0373148245567523,0.059849290352343,0.0467351530820958,0.0410318591345414,0.62347981633656,1.13899672273814
"SI-MA-LPO-LHA Skor1 Glut",0.00327840967360361,0.0310997494825737,0.112304650909294,-3.68794095005027,1.00227500432613,-0.000243752356277009,0.429954463415444,0.917543559479275,-4.62505441434095,0.999831058013797,-4.97415279686652,0.00866925147493056,0.0189196833992215,0.0132828260895571,0.00994945515459739,0.458213348077868,1.33503049997863
"SCsg Gabrr2 Gaba",-0.010754856188511,0.0337200238061494,0.114280962377776,-3.75456116348029,0.992573019100983,0.00307899135774156,0.43282250519139,0.917543559479275,-4.62560276020177,1.00213647319198,-5.39432316221456,0.00832382041852972,0.0248036783714515,0.0188104115878357,0.00654548379953091,0.335588145188589,2.87380003739125
"AHN Onecut3 Gaba",-0.0182773661672092,0.0362192275804948,0.114280962377776,-3.81326173762221,0.987411007922907,-0.00397199957501465,0.446990169812111,0.917543559479275,-4.62822311217734,0.997250606218501,-6.04127454138191,0.0166559521877425,0.00926187354493345,0.0108751515263171,0.0187985239475931,1.79833508921679,0.578510927593841
"ADP-MPO Trp73 Glut",0.0101916202638336,0.0369215416912816,0.114280962377776,-3.82899892622221,1.00708930382823,0.00219113080462039,0.448520963671504,0.917543559479275,-4.62849987122674,1.00151993006405,-5.73903549152231,0.00673101303188584,0.0156356105564843,0.0122469633541321,0.00595798592723938,0.430492497083487,2.05555426006297
"TH Prkcd Grin2c Glut_6",0.0131689873529394,0.0403997963373675,0.119363034633131,-3.90314646523107,1.00916983412037,0.00207727012808689,0.454996916128795,0.917543559479275,-4.62965486301007,1.00144089101991,-3.74777009818418,0.0289583021659092,0.019396221898362,0.0245388906805564,0.0279086363386615,1.49298674337989,0.879257960968985
"Chat GABA",0.00151877780877939,0.049343941550892,0.136997932445514,-4.06548090755447,1.00105329087768,-0.00603194072111309,0.490527168775462,0.917543559479275,-4.63556997431195,0.995827705602629,-5.40313913454079,0.00454196930178904,0.00678636106969098,0.00584846832732345,0.00445186486030362,0.669279051784355,1.31371200852772
"Lhx6 Gaba",0.0252562196076249,0.0513227544269007,0.136997932445514,-4.09669832613541,1.01766041040502,-0.00126733724388553,0.500132037933044,0.917543559479275,-4.63704895214379,0.999121934487915,-5.4638403934062,0.0135679391716294,0.00532198117313906,0.00807281486465189,0.0147677484313892,2.54941510129894,0.54665170538069
"PH-LHA-MM Foxb1 Glut",0.00930263505862013,0.0526915124790439,0.136997932445514,-4.11790136326877,1.00646892898412,-0.00374593979210748,0.505545434104724,0.917543559479275,-4.63785335658142,0.997406880352911,-6.24606206563342,0.00304015316730141,0.0017726573007179,0.00243284732055515,0.00292788206745807,1.71502589139491,0.830923945877131
"Lhx6-Lhx8 Gaba",-0.00348138031535347,0.064533369788936,0.157094355471666,-4.28015142266805,0.99758980025681,0.000329041858431698,0.535720767317948,0.917543559479275,-4.64212580166714,1.00022810044741,-6.79836010218364,0.00204649597562339,0.00445190380707778,0.00379422374271575,0.00151555415088282,0.459690070654672,2.50352238519856
"Pitx2 Glut",0.00389335644922949,0.0652545784266919,0.157094355471666,-4.28944725610151,1.00270231373087,-0.00207178682221728,0.546368985030519,0.917543559479275,-4.64354064488424,0.998564977436442,-4.26008478306121,0.0157937484107855,0.0121321950115135,0.0144247651700151,0.0149876594997489,1.30180469369287,0.962442813052754
"HY NSCs_1",-0.000863190701758612,0.0742385082983242,0.172339394263967,-4.39108596330786,0.999401860755433,-0.000388746054834936,0.550897965735335,0.917543559479275,-4.64412416720053,0.999730578068746,-6.66855302091003,0.00145945809456664,0.00278032882088461,0.00198559936605538,0.00170988012954933,0.52492283776071,1.16125062321107
"TH Prkcd Grin2c Glut_1",-0.00130646315201898,0.0840550929978002,0.18839934637438,-4.48892571177824,0.999094838655575,0.00338385494855009,0.552387842246593,0.917543559479275,-4.64431419357944,1.00234826237632,-3.66467052030834,0.0278284874932112,0.0386707345175995,0.0321958860188747,0.0298232841653988,0.719626555853137,1.07955535146021
"PO-COAa-PAA-MEA Barhl2 Glut",0.00733711101520273,0.100160499520166,0.217014415627026,-4.62481971568994,1.00509865192569,0.000613535501474989,0.572299409869884,0.917543559479275,-4.64675795161297,1.0004253608433,-3.72789004778895,0.0251581668182392,0.0359635912163732,0.0312742284541079,0.0249418190471205,0.699545456038477,1.25388723232351
"STR D1-D2 Gaba",0.0112203684430461,0.109378418681038,0.229191112880044,-4.69229181640064,1.00780768902611,-0.000515237031476853,0.581431686987035,0.917543559479275,-4.64782786249593,0.999642928669459,-3.88674721432701,0.0205796312802555,0.0306020206496898,0.0254759907152017,0.0213495746780589,0.672492562364968,1.19327860621895
"Trh Glut",0.00197278713820003,0.1163268537786,0.229191112880044,-4.73881656662239,1.00136836720391,0.00235850385273886,0.586483256767041,0.917543559479275,-4.64841149724323,1.00163612729399,-6.85242272600693,0.00180942841956311,0.00315362362987934,0.00281924625406188,0.00147129033353206,0.573761688750518,1.91617262059613
"AHN-PVHd-PVR Mixed Gaba",0.00975417259653162,0.116358565000638,0.229191112880044,-4.73936599043461,1.00678398491443,-0.000206413861612693,0.589523343848447,0.917543559479275,-4.64875428078158,0.999856935048561,-4.05424507577794,0.0191878726318558,0.0268532068007903,0.0236596170575922,0.0188681093408278,0.714546786691082,1.2539474215573
"PO-CEA-BST Meis2 Gaba",0.00135245252875511,0.151398996724879,0.289439258444622,-4.93621744195496,1.00093788819948,0.000533509094057322,0.594265378702974,0.917543559479275,-4.64927613953341,1.00036986870892,-4.087433763975,0.0179330055023739,0.0155201643438124,0.0174516650652019,0.0168758527523279,1.15546492325151,1.03412048690663
"SCH Six6 Cdc14a Gaba",0.0123951048992757,0.156982974566731,0.291539809909643,-4.96281827412847,1.00862864601162,-0.000282367381930579,0.601119414905455,0.917543559479275,-4.6500293795699,0.999804296997664,-3.61166667375674,0.0262340371834611,0.0401577492964687,0.0363316240982993,0.0231846056176061,0.653274589414501,1.56705810301597
"PV-PT Ntrk1-Sp9 Glut",0.00239130315603844,0.189331506753409,0.341848553860322,-5.09828671260875,1.00165889949439,-0.00534630213078146,0.612039428985416,0.917543559479275,-4.65117897655101,0.996301083659116,-3.31948270340937,0.0361233525555881,0.0420979683129181,0.0378166085060705,0.0381143309506494,0.858078287462232,0.992188700754988
"HY NSCs_2",-0.00384134308832103,0.199527786179274,0.350521786531158,-5.13551520626058,0.997340925487077,-0.00127273690609545,0.612782761454252,0.917543559479275,-4.65126124898966,0.999118195020665,-3.29692894099555,0.0365359345139996,0.0476142424192761,0.0419786902445799,0.0373488265356518,0.76733205565418,1.12396276237778
"GPe-SI Sox6 Cyp26b1 Gaba",0.00788163965149383,0.22177930206165,0.376099105380205,-5.20931128365176,1.00547808644424,-0.000460085861332244,0.620020922177003,0.917543559479275,-4.65199582515816,0.999681143627904,-3.89223906819669,0.0328845992723463,0.0186713283101893,0.0269469318644033,0.0305350597457921,1.76123512618009,0.882491538865147
"AV Col27a1 Glut",0.0016022147873373,0.231284193114971,0.376099105380205,-5.23849272095146,1.00111118757445,-0.00148106705860738,0.630699584265696,0.917543559479275,-4.65305808590979,0.998973929314998,-4.48651123559507,0.0110537280849481,0.0119147250866775,0.0111507389067597,0.0115243999963727,0.927736729511946,0.967576525482399
"ARC Mixed Glut",0.00672353598180106,0.231445603310895,0.376099105380205,-5.23876704351497,1.0046712765631,0.000496333103826551,0.638497836372844,0.917543559479275,-4.65380510028825,1.00034409107729,-5.26485877861346,0.00658763030052239,0.00983579688013742,0.00777390617880581,0.00733789997615344,0.669760709864349,1.05941839001203
"VMH Nr5a1 Glut_2",0.00496768140104223,0.248325317555146,0.393686479050842,-5.28700064924411,1.00344926944301,-0.00158834619904598,0.656570873220501,0.917543559479275,-4.65545737888205,0.998899648141943,-3.13228159714614,0.0551951154298783,0.0360806009789769,0.0450697932976365,0.0547105394101858,1.52977261831195,0.823786308516007
"PO-MEA Glut",-0.00332503609497446,0.304889465526391,0.471852744267034,-5.42239872056011,0.997697914478127,-0.0030502565399572,0.659392619982195,0.917543559479275,-4.65570560299872,0.997887956788007,-5.80090425058454,0.00521587207174528,0.00760303614845331,0.00640664544912509,0.00536858065275728,0.686024894516165,1.19335926262646
"SI-MPO-LPO-ADP Lhx8 Gaba",0.00109663210847117,0.338475881111255,0.511649587726315,-5.48865197214363,1.00076041642419,0.000319636288756455,0.660289757864213,0.917543559479275,-4.65578397991935,1.00022157953748,-5.99154189978088,0.0028875398065234,0.00271499584985249,0.00308731986752593,0.00251919076005899,1.06355219905043,1.2255204792247
"VMH Nr5a1 Glut_1",-0.00409504948209926,0.379277442067339,0.560296221235842,-5.55799968173318,0.997165552650029,0.0018499607247264,0.666151242708017,0.917543559479275,-4.65628965845991,1.00128311755232,-5.49391681605869,0.00510866057366541,0.00366067419574406,0.00420667641019455,0.00524065014318306,1.39555183020789,0.802701247986668
"STN-PSTN Pitx2 Glut",-0.00622384912393741,0.431515632401453,0.62330035791321,-5.63277112116715,0.99569524864605,0.00206495889600477,0.671510635004403,0.917543559479275,-4.65673862243031,1.00143234526473,-4.99639315582438,0.00799180888302801,0.011720078529536,0.0110229102092668,0.00676611760720376,0.681890386902077,1.62913369958733
"LHA Pmch Glut",-0.00118568388916949,0.459741074818442,0.636622270268916,-5.66777345792137,0.999178484184229,-0.00261180031869893,0.692127011465984,0.917543559479275,-4.65840002410014,0.998191275689807,-2.98208491333717,0.0509636389278161,0.0458138616089516,0.047673042093436,0.0515364130640718,1.11240653239015,0.925036091164656
"PVN Mixed Glut",-0.000594094330432145,0.460326872348293,0.636622270268916,-5.6684642996527,0.99958828996572,-0.000118574319724629,0.709632310636947,0.917543559479275,-4.6597059109669,0.999917813922057,-5.66874774066783,0.0036543891396291,0.00491374517692174,0.00439448696711856,0.00359507413090597,0.743707499687321,1.22236338030981
"RT-ZI Gnb3 Gaba_2",0.000846502240761584,0.478700138890106,0.648239771413685,-5.68944262947419,1.00058692281335,0.00104681977174443,0.742120697580112,0.917543559479275,-4.66189278843281,1.00072586348483,-7.69822574213847,0.000629480129894519,0.000275977078495459,0.000411766566471935,0.000658588736335894,2.28091453582394,0.62522564349161
"TH Sema5b-Ntrk Glut",-0.00446781745108614,0.490404540949722,0.650536635953712,-5.70213650781842,0.996907935239943,-0.00113910966982877,0.747662346294967,0.917543559479275,-4.66223383954547,0.999210740972897,-4.05226539416589,0.0203943104997285,0.0156457642825895,0.0170540840939759,0.0213049679826362,1.30350362765104,0.80047452349495
"PVH-SO-PVa Agtr1a Glut",0.00200852953684615,0.517525216597682,0.667030720316967,-5.729620646921,1.00139317615502,-0.000714529033316113,0.752990946086632,0.917543559479275,-4.66255815286529,0.999504848842944,-6.74007655163998,0.00565047294621308,0.00116119106933437,0.0029661592583953,0.00591948376563119,4.8661009332875,0.50108411068157
"STR D1 Gaba",-0.000293137943175612,0.523603230762243,0.667030720316967,-5.73551638252592,0.999796832902403,-0.000286586497585762,0.761065808095651,0.917543559479275,-4.66303146656051,0.999801373106146,-3.61709440025934,0.026964023335361,0.032136705915318,0.0296894725681746,0.0271134310680644,0.839041294599783,1.09500979398894
"PVH-SO-PVa Avp Glut",0.000368730689082143,0.533624576253574,0.667030720316967,-5.74487713796256,1.00025561730206,-0.000849798833229291,0.7619886504937,0.917543559479275,-4.66308443409276,0.999411137782154,-4.07698634712022,0.0177220499588788,0.0186052376408327,0.0179168064974375,0.0180857958170238,0.952530158496035,0.990656240881186
"LH-MH Glut",-0.00432327245751515,0.599531189472964,0.727262244683916,-5.79908416280409,0.997007821401542,-0.00164439841439524,0.793302210763092,0.917543559479275,-4.66474749061692,0.998860839212175,-6.3498499416746,0.00210710359693488,0.00233208361885236,0.0021220485123176,0.00224309621777474,0.903528321155054,0.946035437758784
"PO-MEA-BST Mixed Gaba",-0.000241091853417555,0.604187095583561,0.727262244683916,-5.80246784934045,0.999832901824003,-0.000111453357498323,0.795143679428392,0.917543559479275,-4.66483583343745,0.999922749403467,-5.84271056589215,0.00304027500807193,0.00321559152164725,0.00308943119590562,0.00309935987636284,0.945479233791016,0.996796538364924
"PF Fzd5 Glut",0.00124694791709667,0.66851827501542,0.790067052290951,-5.84388404641178,1.00086469206386,0.000288353719273735,0.800989195764571,0.917543559479275,-4.66511659669873,1.00019989154317,-3.23539856828011,0.0416468353612692,0.0383797107806683,0.0408280289473695,0.0404241952294808,1.08512634707624,1.00998990123603
"TH Prkcd Grin2c Glut_2",0.000478447498326937,0.722998656516112,0.839194869170487,-5.87185767004338,1.00033168953132,0.000501030552063195,0.803748571527795,0.917543559479275,-4.6652453968665,1.00034734822597,-6.11240465925887,0.00288678846515235,0.00372929086365585,0.00371729500955289,0.00242787568362282,0.774085093036269,1.53108951773265
"STR-PAL Chst9 Gaba",0.000232056404665375,0.806620573238225,0.90410326317311,-5.90376026787076,1.00016086217956,-0.000708962840975669,0.804615121389518,0.917543559479275,-4.66528544395401,0.999508705130523,-3.26859051593907,0.0385881419075393,0.0393325075775907,0.0391130407326116,0.0384437697743594,0.9810750517601,1.01740908766701
"ZI Pax6 Gaba",0.000505627910515219,0.817823490053259,0.90410326317311,-5.90708988802063,1.00035053598397,0.000281030955779732,0.858835033662358,0.947339042781058,-4.66741731657386,1.00019481478859,-8.25346346595816,0.000277291987227452,0.000125182594850714,0.000117031931597935,0.000373041849505342,2.21510017073967,0.313723330916144
"Mixed",0.000239389258284219,0.820647577341746,0.90410326317311,-5.90789560527042,1.00016594575691,7.6542882105382e-05,0.869117589810922,0.947339042781058,-4.66774138625401,1.00005305689039,-6.2065875454212,0.00226270446210312,0.00218912482752352,0.00233958365045336,0.00211601947789184,1.03361143853219,1.10565317327998
"DMH Gaba",0.000169466986975852,0.884928077702609,0.958672084177826,-5.92267234540126,1.00011747246357,0.000402680887154172,0.881479214916479,0.947339042781058,-4.6680967127081,1.0002791560784,-5.69081309272241,0.00347036843148342,0.00363615817784838,0.00355076803425137,0.00348384937864939,0.954405243596122,1.01920825165752
"TU-ARH Otp Six6 Gaba",0.000123566183107065,0.952763708403911,0.993240859980035,-5.93113337325829,1.00008565321946,0.000442072602766331,0.904235667333212,0.947339042781058,-4.66865612419868,1.00030646833004,-4.69554833044084,0.00978580083553118,0.0111819360982818,0.0110881413130662,0.00911771823175342,0.875143691532529,1.21610923163326
"DMH Hmx2-Vgll1 Glut",0.000577654519678315,0.960608185703617,0.993240859980035,-5.93165238826873,1.00040047977227,-0.000332417828284484,0.908411768359538,0.947339042781058,-4.66874599294448,0.999769612062934,-5.27900839326786,0.00590708549373372,0.00663821166309963,0.00644410910519312,0.00573845522084853,0.889860973636909,1.12296931093596
