"","BaselineProp.clusters","BaselineProp.Freq","PropMean.F","PropMean.M","PropRatio","Tstatistic","P.Value","FDR"
"SCH Six6 Cdc14a Gaba","SCH Six6 Cdc14a Gaba",0.0304411682089229,0.0231846056176061,0.0363316240982992,0.638138431545959,-3.21836778591877,0.00269305213690177,0.175048388898615
"STN-PSTN Pitx2 Glut","STN-PSTN Pitx2 Glut",0.00913315302445406,0.00676611760720376,0.0110229102092668,0.613823162735698,-2.84765283115203,0.00716826128350724,0.208913317791429
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0127125785507339,0.00960718089819356,0.0140906196209992,0.681813941231942,-2.67391134426635,0.0111186648285055,0.208913317791429
"SCsg Gabrr2 Gaba","SCsg Gabrr2 Gaba",0.0125761430486112,0.00654548379953091,0.0188104115878357,0.347971322635159,-2.59734796897498,0.0134628774292763,0.208913317791429
"Trh Glut","Trh Glut",0.00231940353608719,0.00147129033353206,0.00281924625406188,0.521873650239766,-2.49276578379334,0.0173447267088788,0.208913317791429
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.00291329925120986,0.00151555415088282,0.00379422374271575,0.399437211311648,-2.44833139086672,0.0192843062576704,0.208913317791429
"TH-PVT-RE Ntrk1-Nox4 Glut","TH-PVT-RE Ntrk1-Nox4 Glut",0.0296787345205897,0.0366479040533752,0.0227176851701081,1.61318830589291,2.02569355512908,0.0501023064081519,0.395546639076562
"ADP-MPO Trp73 Glut","ADP-MPO Trp73 Glut",0.00990361233055915,0.00595798592723939,0.0122469633541321,0.486486793089746,-1.93450051847823,0.0608325042236219,0.395546639076562
"TH Prkcd Grin2c Glut_5","TH Prkcd Grin2c Glut_5",0.00632418680427926,0.0071492819657999,0.00484030024685156,1.47703274615046,1.89452780435983,0.0660432807568721,0.395546639076562
"PVN Mixed Glut","PVN Mixed Glut",0.00406096259259557,0.00359507413090597,0.00439448696711856,0.818087334837003,-1.78405867684976,0.0826717631836782,0.395546639076562
"TH Prkcd Grin2c Glut_7","TH Prkcd Grin2c Glut_7",0.0185231258176098,0.0158605897270404,0.0213603296216013,0.74252551379174,-1.73918996556502,0.0903713201577391,0.395546639076562
"ZI Pax6 Gaba","ZI Pax6 Gaba",0.00024076853315784,0.000373041849505342,0.000117031931597935,3.18752193877252,1.72420270815729,0.0930734880910424,0.395546639076562
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0109469426409098,0.00994945515459739,0.0132828260895571,0.749046557375285,-1.71625713682976,0.0945929622456837,0.395546639076562
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.00166130287878909,0.00195125013184681,0.00136719033821472,1.42719713364472,1.70003565217074,0.0975727523314388,0.395546639076562
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00390045023715701,0.00352166793279129,0.00466938566740711,0.754203696938758,-1.68176731095477,0.101092712082461,0.395546639076562
"TH Prkcd Grin2c Glut_8","TH Prkcd Grin2c Glut_8",0.0329130584826767,0.0359784849145904,0.0290536534343753,1.23834632349616,1.65831142973991,0.105765979240862,0.395546639076562
"PO-COAa-PAA-MEA Barhl2 Glut","PO-COAa-PAA-MEA Barhl2 Glut",0.0286915835346426,0.0249418190471205,0.0312742284541079,0.797519883942793,-1.64900171857714,0.107669630468213,0.395546639076562
"TH Prkcd Grin2c Glut_3","TH Prkcd Grin2c Glut_3",0.039453936966798,0.045536752341465,0.0326962290076798,1.39272184357313,1.64000518734904,0.109535992359663,0.395546639076562
"HY NSCs_2","HY NSCs_2",0.0381698381232895,0.0373488265356518,0.0419786902445799,0.889709190973965,-1.58000764509481,0.122673486842462,0.411459325013398
"TH Prkcd Grin2c Glut_2","TH Prkcd Grin2c Glut_2",0.00303368351778878,0.00242787568362282,0.00371729500955289,0.653129675579565,-1.5633413789291,0.126602869234892,0.411459325013398
"AHN-PVHd-PVR Mixed Gaba","AHN-PVHd-PVR Mixed Gaba",0.0209388367669601,0.0188681093408278,0.0236596170575922,0.797481603142567,-1.50643899571059,0.140501367834972,0.432395088684776
"Hist Gaba","Hist Gaba",0.0158505950995578,0.0137918001211324,0.0192671643190407,0.715818887136532,-1.48394457396505,0.146349106939463,0.432395088684776
"AHN Onecut3 Gaba","AHN Onecut3 Gaba",0.0146628036693124,0.0187985239475931,0.0108751515263171,1.72857581819453,1.39065284470408,0.172752662724825,0.453519342386313
"Lhx6 Gaba","Lhx6 Gaba",0.011035224436401,0.0147677484313892,0.00807281486465189,1.82931835784468,1.38823291667552,0.173482242344629,0.453519342386313
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0149115978202422,0.018425066631026,0.0110341154372492,1.66982724947993,1.38509941442587,0.174430516302428,0.453519342386313
"TU-ARH Otp Six6 Gaba","TU-ARH Otp Six6 Gaba",0.0103369956902433,0.00911771823175342,0.0110881413130662,0.822294555446288,-1.35747468058806,0.182907221439272,0.457268053598181
"Chat GABA","Chat GABA",0.0051604722273497,0.00445186486030362,0.00584846832732345,0.761201841429996,-1.31892565833972,0.195352522077226,0.470293108704434
"ZI Mixed Gaba","ZI Mixed Gaba",0.0104252774857345,0.011176730771662,0.00886988307577032,1.26007644928187,1.27612107885887,0.209917814939156,0.480710218070725
"PO-MEA Glut","PO-MEA Glut",0.00563398367589345,0.00536858065275728,0.00640664544912509,0.837970619006304,-1.26336051682573,0.214470712677708,0.480710218070725
