"","file","F_enrich","M_enrich"
"1","AD-Serpinb7-Glut",2,1
"2","ADP-MPO-Trp73-Glut",2,1
"3","AHN-Onecut3-Gaba",4,2
"4","AHN-PVHd-PVR-Mixed-Gaba",4,4
"5","ARC-Mixed-Glut",4,1
"6","AV-Col27a1-Glut",4,1
"7","Chat-GABA",4,1
"8","DMH-Gaba",6,5
"9","DMH-Hmx2-Vgll1-Glut",4,1
"10","GPe-SI-Sox6-Cyp26b1-Gaba",4,1
"11","GPi-Tbr1-Cngb3-Gaba-Glut",4,1
"12","Hist-Gaba",3,1
"13","HY-NSCs-1",2,1
"14","HY-NSCs-2",4,1
"15","LH-MH-Glut",2,1
"16","LHA-Pmch-Glut",4,1
"17","Lhx6-Gaba",3,1
"18","Lhx6-Lhx8-Gaba",4,3
"19","Mixed",6,6
"20","Mixed-Meis2-Gaba",4,2
"21","NDB-SI-MA-STRv-Lhx8-Gaba",4,3
"22","PF-Fzd5-Glut",4,1
"23","PH-LHA-MM-Foxb1-Glut",4,1
"24","PH-LHA-PVH-SO-PVa-Nxph4-Glut",5,5
"25","Pitx2-Glut",4,2
"26","PO-CEA-BST-Meis2-Gaba",4,6
"27","PO-COAa-PAA-MEA-Barhl2-Glut",4,1
"28","PO-MEA-BST-Mixed-Gaba",27,28
"29","PO-MEA-Glut",6,2
"30","PO-MEA-Slc17a7-Glut",4,1
"31","PV-PT-Ntrk1-Sp9-Glut",4,2
"32","PVH-SO-PVa-Agtr1a-Glut",4,1
"33","PVH-SO-PVa-Avp-Glut",4,1
"34","PVN-Mixed-Glut",2,2
"35","PVpo-VMPO-MPN-Hmx2-Gaba",5,3
"36","RE-Xi-Nox4-Glut",4,2
"37","RT-ZI-Gnb3-Gaba-1",5,1
"38","RT-ZI-Gnb3-Gaba-2",5,5
"39","SCH-Six6-Cdc14a-Gaba",4,1
"40","SCsg-Gabrr2-Gaba",0,0
"41","SI-MA-LPO-LHA-Skor1-Glut",4,2
"42","SI-MPO-LPO-ADP-Lhx8-Gaba",4,1
"43","SNc-VTA-RAmb-Foxa1-Dopa",0,0
"44","STN-PSTN-Pitx2-Glut",4,1
"45","STR-D1-D2-Gaba",5,4
"46","STR-D1-Gaba",4,3
"47","STR-PAL-Chst9-Gaba",4,2
"48","TH-Prkcd-Grin2c-Glut-1",4,1
"49","TH-Prkcd-Grin2c-Glut-2",10,7
"50","TH-Prkcd-Grin2c-Glut-3",7,4
"51","TH-Prkcd-Grin2c-Glut-4",4,1
"52","TH-Prkcd-Grin2c-Glut-5",3,1
"53","TH-Prkcd-Grin2c-Glut-6",5,3
"54","TH-Prkcd-Grin2c-Glut-7",5,6
"55","TH-Prkcd-Grin2c-Glut-8",5,1
"56","TH-PVT-RE-Ntrk1-Nox4-Glut",4,1
"57","TH-Sema5b-Ntrk-Glut",5,2
"58","Trh-Glut",6,3
"59","TRS-BAC-Sln-Glut",1,1
"60","TU-ARH-Otp-Six6-Gaba",4,1
"61","VMH-Nr5a1-Glut-1",4,1
"62","VMH-Nr5a1-Glut-2",12,16
"63","ZI-Mixed-Gaba",5,4
"64","ZI-Pax6-Gaba",4,4
"65","ZI-PVH-SBPV-Pax6-Prox1-Gaba",4,1
