,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Ptprt,160.414225695492,0.590760497700187,0.120669367056791,4.8956956691598,9.79585657745694e-07,0.000829709052110603
2,Cdh18,370.940136328222,-0.661112561251756,0.12824073898901,-5.15524603541477,2.53298127082039e-07,0.000829709052110603
3,Mdga1,15.2055409345216,0.811558160436891,0.165047265180423,4.91712576727478,8.7824132192904e-07,0.000829709052110603
4,Zbtb7c,14.727879423498,0.855354372394104,0.174173286813703,4.91093891630465,9.06413233089389e-07,0.000829709052110603
5,Kcnq3,108.213636690869,0.329409012992814,0.0690943362814443,4.7675255414716,1.86502357534459e-06,0.00126373997465349
6,Ptprk,79.8953081201982,0.584062847649962,0.126686330990209,4.61030675594434,4.02075238053299e-06,0.00227038484420763
7,Clcn5,17.1476643178085,0.802304652894793,0.180706164163732,4.43983002244378,9.00299568324867e-06,0.00435744991069235
8,D430041D05Rik,58.4342300210364,0.429841909643398,0.100137299593724,4.29252547639441,1.76652273906326e-05,0.00664997671105147
9,Ncald,65.3258104508034,0.683900236750835,0.158785860735076,4.3070600466869,1.65438710968792e-05,0.00664997671105147
10,Kcnk9,12.7556469027771,0.759513230839722,0.181617220316855,4.18194502434655,2.89025864809743e-05,0.0097921962997541
11,Dlgap2,107.732608897694,0.314841602667177,0.0767651463166624,4.10136133094088,4.10726615570787e-05,0.0115961814462819
12,Ebf2,50.1028285436286,1.11299235072041,0.270352204406284,4.11682365662465,3.84129755798619e-05,0.0115961814462819
13,Frmd5,121.545419185878,-0.405863919056202,0.101525050729444,-3.99767265458254,6.39683300293166e-05,0.0142451785961052
14,Fras1,32.1299986505549,0.614803497626655,0.154375976602009,3.98250758414087,6.81919480209807e-05,0.0142451785961052
15,Auts2,198.058117120679,0.293954219355344,0.0731180601966982,4.02026829711516,5.81318990934563e-05,0.0142451785961052
16,Fat3,105.332557490102,0.432543347390577,0.108917014497374,3.97131108841591,7.14781688706575e-05,0.0142451785961052
17,Kcnma1,153.278869182819,-0.314783778908173,0.078842668508518,-3.99255612301053,6.53648557690437e-05,0.0142451785961052
18,Kctd16,89.9281434580462,-0.638310965490547,0.164145028128972,-3.88870118556997,0.000100782108751418,0.0189694324694336
19,Mcc,10.8721785978671,-1.02947561517786,0.266059012190563,-3.8693506628541,0.000109125597472026,0.0194588170650117
20,Ptprz1,48.172258424277,0.473214695920099,0.123894056930235,3.81951085988385,0.0001337165727025,0.0226515874158035
21,Pcdh9,1043.06454993444,-0.228270988654239,0.0601206154806817,-3.79688376157074,0.000146526453291561,0.0236396011310386
22,Dcaf6,38.6596864753124,0.391649961078727,0.103790016678968,3.77348394008004,0.000160983586864479,0.0247914723771298
23,Nrf1,21.4275659365447,-0.56734733685091,0.15251394657926,-3.71997020322378,0.000199246283102065,0.0293498437891216
24,Pdzrn4,143.712123547067,0.549208845417009,0.149517229608536,3.67321443057058,0.00023951832519721,0.0338120035736728
25,Luzp1,21.5811270112379,-0.555368040881223,0.153458604972834,-3.61900879380168,0.000295733590061892,0.0400778161251876
26,2610035D17Rik,19.5466433949046,-0.575998375036908,0.159929498190278,-3.60157682950776,0.000316292917863178,0.0408523396160462
27,Dgkg,20.741248500751,-0.59401029201119,0.165275559040559,-3.59406009853774,0.000325564689974394,0.0408523396160462
28,Epha5,172.04303405213,0.256097105328014,0.0719018827357928,3.56175798996886,0.000368379876730283,0.0416023674120733
29,Clstn2,67.6380995968462,-0.39943301586898,0.111717196743804,-3.5753941873871,0.000349700594209852,0.0416023674120733
30,Slc22a17,29.2731735930293,0.4550406049933,0.127719941129221,3.56279999011988,0.000366920235399054,0.0416023674120733
31,Plxnc1,25.7599154303018,0.577052951887111,0.164154289536688,3.51530839380315,0.000439243592213502,0.048005073884495
32,Nyap2,50.0844766781577,0.322095758198692,0.0920683163098078,3.49844301610608,0.000467983080685698,0.0480462629503984
33,Supt16,11.3043672390562,-0.781252169356054,0.223071324989552,-3.5022527857072,0.000461341687670914,0.0480462629503984
34,Il1rapl2,144.501183366146,-0.703725177195783,0.203725238769145,-3.45428569109801,0.000551752544116268,0.0549805182195858
35,Arhgap26,44.743179952056,-0.471990569851078,0.137311739529718,-3.43736501676848,0.000587403418091889,0.0568606508712949
36,Tcf7l2,12.4780059623916,-1.72575979698001,0.503291132045048,-3.42894934382738,0.000605922607102604,0.0570240498017673
37,Srrm1,49.8054481703669,0.298309689699945,0.0876209046208597,3.40454930236964,0.000662733356548441,0.0606848814050303
38,Rap1gds1,36.9706439315506,0.349335096001404,0.103957877357459,3.36035233578516,0.000778431302024263,0.0643250061282488
39,Pcdh7,224.271572596262,-0.320823274079311,0.0948842821126234,-3.38120568482047,0.000721684990341294,0.0643250061282488
40,Kcnc2,147.401944405722,0.29359267410501,0.0872637646229479,3.36442824090359,0.000767024273856347,0.0643250061282488
41,Spred2,17.4225236549666,-0.560568266118848,0.16635563972557,-3.36969799787729,0.000752506072781541,0.0643250061282488
42,Pogz,17.380548578855,0.514051889616208,0.154177436620056,3.33415771390078,0.000855581307607906,0.0690168921470378
43,Chd7,11.1672832123183,-1.1055888576428,0.334492770728777,-3.30526981265992,0.000948850088570034,0.0730614568198926
44,Srgap1,34.5555077268702,0.351210626887671,0.106084588101941,3.31066588626597,0.000930742666350117,0.0730614568198926
45,Ppp1r9a,87.4028508664901,0.308008706444311,0.0934643365088545,3.29546774683551,0.000982579818743567,0.073977342797849
46,Hivep2,113.21930298243,-0.260034562048578,0.0794215743718238,-3.27410485255792,0.00105997271999234,0.0780692951159573
47,Nlgn1,826.651501332772,0.20804635842302,0.0639530221909578,3.25311222668747,0.00114148404829923,0.0822291778201045
48,Zim1,10.7159676730664,0.697823143390619,0.215281678271797,3.24144232334349,0.00118926496847259,0.0822291778201045
49,Cadm1,213.408034497341,0.229715247136525,0.0707402757850842,3.24730494173393,0.00116503491449106,0.0822291778201045
50,Bckdhb,20.966523326501,-0.512632085401285,0.159429771218364,-3.21541002965597,0.00130258319368456,0.0882630372040658
