,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,74.2635500706847,8.28448928940023,0.410297327818888,20.1914288192906,1.16447690409661e-90,2.20004621490972e-86
2,Uty,52.6148576272527,-6.86719843873206,0.362615435930864,-18.9379650127232,5.55011667659383e-80,5.24291771854437e-76
3,Eif2s3y,30.1600548950172,-7.64777274204596,0.51001693424312,-14.9951349231089,7.90019912755605e-51,4.97528207056388e-47
4,Kdm5d,21.4807391085298,-6.077497594155,0.428136236626021,-14.1952422482373,9.80470411100966e-46,4.63100686923264e-42
5,Ddx3y,14.7986368644838,-6.61421632084553,0.513136795539015,-12.8897720419713,5.13955033894915e-38,1.94203049107533e-34
6,Kdm6a,81.6558861121369,0.508299475005694,0.0614352089724213,8.2737486126868,1.29811711565736e-16,4.08755444435243e-13
7,Tsix,3.26231393590418,3.08021572048284,0.417582289032832,7.37630833821274,1.62738879437445e-13,4.39232235601665e-10
8,Greb1,5.89297685481917,-1.73122958655963,0.273314041698715,-6.33421384353181,2.38554464218324e-10,5.63376186559599e-07
9,Gm29650,1.32517363511372,-3.90402104646777,0.626389149765362,-6.23258089309205,4.58812478356942e-10,9.63149350399744e-07
10,Eif2s3x,8.91508381759126,0.886053245926139,0.180854325149684,4.89926489285119,9.61958813639398e-07,0.00181742878660892
11,Upp2,208.126879317726,0.177278763771293,0.0423735084867832,4.18371690478705,2.86781202442665e-05,0.0492559750704479
12,Jpx,24.3814654014285,0.428636825386844,0.106480205336675,4.02550712624525,5.68526585913649e-05,0.0895097732305548
