,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,29.4332117302182,7.97119626440895,0.448159130455253,17.7865309947196,8.98745755800338e-71,7.47756468825881e-67
2,Uty,19.6643777574832,-6.71439512518116,0.471529331360253,-14.239612848286,5.20144134996507e-46,2.16379960158547e-42
3,Eif2s3y,12.172303182435,-7.06855862239056,0.518336605644184,-13.6370044975037,2.41269136158299e-42,6.6911973761235e-39
4,Kdm5d,9.40139805683273,-5.44356862278422,0.462257218862784,-11.7760597361273,5.18612120024552e-32,1.07871320965107e-28
5,Ddx3y,4.79384061511049,-5.67953649244768,0.535696165040677,-10.6021600733625,2.91175952170719e-26,4.84516784412077e-23
6,Kdm6a,26.2979462828341,0.569546001116003,0.0932705516835612,6.10638610832174,1.019122980092e-09,1.41318386572757e-06
7,Klhl1,16.0874976367649,0.688378924078924,0.149549336093955,4.60302226715634,4.16403688808423e-06,0.0049492552726944
8,Socs2,5.1886329954007,1.26917090583393,0.277899859978502,4.56700807957264,4.94734948788587e-06,0.0051452434674013
9,Gm41804,5.83345625959996,0.905220889966191,0.199662558319058,4.53375383741032,5.79445553260463e-06,0.00535665222569672
10,Ccdc85a,93.1148583016657,-0.287295628265164,0.0646377610395713,-4.44470265746491,8.80135093373891e-06,0.00732272397687077
11,Bcl2,14.2758783852982,0.63333286504486,0.146034399878576,4.33687450060713,1.44523086638364e-05,0.010931200734829
12,Bbs9,61.2910178969107,-0.306065048262678,0.0724474672721886,-4.22464800753872,2.39314529071394e-05,0.0165924740156167
13,Itgb8,7.0763215925715,-0.836387826957662,0.200427663426188,-4.1730159033944,3.00593950930372e-05,0.0192380128595438
14,Erbb4,182.574666495216,0.394623684836879,0.100462998767303,3.9280500251732,8.56374003233166e-05,0.0475002113793329
15,Hs6st3,307.982452513057,0.244545927451634,0.0621717381394122,3.93339376974264,8.37548631266726e-05,0.0475002113793329
16,Pde1a,90.2205504621198,0.385489511572747,0.0999054379364224,3.85854383440132,0.000114064611586265,0.0499482930735645
17,Bicc1,13.4580298174822,-0.546883299694564,0.141350182057758,-3.86899607579635,0.000109284400817114,0.0499482930735645
18,Dgkb,321.824735757932,0.15019114188697,0.0388230369423878,3.86860878786606,0.00010945809849553,0.0499482930735645
19,Alk,43.6373500756584,0.592892216590793,0.152744271663199,3.88160033849334,0.000103771319529955,0.0499482930735645
20,Gm14858,8.00657592489199,-0.659711547575849,0.17168970269592,-3.84246426673746,0.000121805152161207,0.0506709432990619
21,Fancd2,3.39729100182648,1.05052998901974,0.275114486691419,3.81851934317823,0.00013425505903016,0.0531905757681395
22,Grin3a,37.3168459275497,0.333688263676013,0.0884565817879527,3.77233956966512,0.000161723951638259,0.0611610580741052
23,Mgll,3.1120657572947,1.0789830302903,0.288415879489457,3.74106665763438,0.000183240908966837,0.0657837644829507
24,Itpr1,59.1055909952274,-0.268676522599415,0.0719874015986802,-3.73227143406633,0.000189760859085435,0.0657837644829507
25,Plcd4,2.34196709169172,-1.29922934652897,0.351926275745858,-3.6917656795459,0.000222702597080239,0.0741154243083036
26,Alcam,106.86895423585,0.340525505335666,0.0930971728398212,3.65774271063589,0.000254446274023835,0.0814228076876271
27,Clcn6,7.35516983586089,-0.670831346525372,0.186166907591921,-3.60338663408343,0.000314097775028282,0.0967886477124187
28,Adgrb3,732.05234508187,0.129119989978338,0.0359908235645468,3.58758086618303,0.000333760236518026,0.0991744702796421
