"","file","L_enrich","NL_enrich"
"1","AD-Serpinb7-Glut",0,0
"2","ADP-MPO-Trp73-Glut",0,0
"3","AHN-Onecut3-Gaba",0,1
"4","AHN-PVHd-PVR-Mixed-Gaba",0,0
"5","ARC-Mixed-Glut",0,0
"6","AV-Col27a1-Glut",0,0
"7","Chat-GABA",0,0
"8","DMH-Gaba",0,0
"9","DMH-Hmx2-Vgll1-Glut",0,0
"10","GPe-SI-Sox6-Cyp26b1-Gaba",0,0
"11","GPi-Tbr1-Cngb3-Gaba-Glut",0,0
"12","Hist-Gaba",0,0
"13","HY-NSCs-1",0,0
"14","HY-NSCs-2",0,0
"15","LH-MH-Glut",0,1
"16","LHA-Pmch-Glut",0,0
"17","Lhx6-Gaba",0,0
"18","Lhx6-Lhx8-Gaba",0,0
"19","Mixed",0,0
"20","Mixed-Meis2-Gaba",0,0
"21","NDB-SI-MA-STRv-Lhx8-Gaba",0,0
"22","PF-Fzd5-Glut",0,0
"23","PH-LHA-MM-Foxb1-Glut",0,0
"24","PH-LHA-PVH-SO-PVa-Nxph4-Glut",0,0
"25","Pitx2-Glut",0,0
"26","PO-CEA-BST-Meis2-Gaba",0,0
"27","PO-COAa-PAA-MEA-Barhl2-Glut",0,0
"28","PO-MEA-BST-Mixed-Gaba",0,0
"29","PO-MEA-Glut",0,0
"30","PO-MEA-Slc17a7-Glut",0,0
"31","PV-PT-Ntrk1-Sp9-Glut",0,0
"32","PVH-SO-PVa-Agtr1a-Glut",0,0
"33","PVH-SO-PVa-Avp-Glut",0,0
"34","PVN-Mixed-Glut",0,0
"35","PVpo-VMPO-MPN-Hmx2-Gaba",0,0
"36","RE-Xi-Nox4-Glut",0,0
"37","RT-ZI-Gnb3-Gaba-1",0,0
"38","RT-ZI-Gnb3-Gaba-2",0,0
"39","SCH-Six6-Cdc14a-Gaba",0,0
"40","SCsg-Gabrr2-Gaba",0,0
"41","SI-MA-LPO-LHA-Skor1-Glut",0,0
"42","SI-MPO-LPO-ADP-Lhx8-Gaba",0,0
"43","SNc-VTA-RAmb-Foxa1-Dopa",0,0
"44","STN-PSTN-Pitx2-Glut",0,0
"45","STR-D1-D2-Gaba",0,0
"46","STR-D1-Gaba",0,0
"47","STR-PAL-Chst9-Gaba",0,0
"48","TH-Prkcd-Grin2c-Glut-1",0,0
"49","TH-Prkcd-Grin2c-Glut-2",0,0
"50","TH-Prkcd-Grin2c-Glut-3",0,0
"51","TH-Prkcd-Grin2c-Glut-4",0,0
"52","TH-Prkcd-Grin2c-Glut-5",0,0
"53","TH-Prkcd-Grin2c-Glut-6",0,0
"54","TH-Prkcd-Grin2c-Glut-7",0,0
"55","TH-Prkcd-Grin2c-Glut-8",0,0
"56","TH-PVT-RE-Ntrk1-Nox4-Glut",0,0
"57","TH-Sema5b-Ntrk-Glut",0,0
"58","Trh-Glut",0,0
"59","TRS-BAC-Sln-Glut",0,0
"60","TU-ARH-Otp-Six6-Gaba",0,0
"61","VMH-Nr5a1-Glut-1",0,0
"62","VMH-Nr5a1-Glut-2",0,0
"63","ZI-Mixed-Gaba",0,0
"64","ZI-Pax6-Gaba",0,0
"65","ZI-PVH-SBPV-Pax6-Prox1-Gaba",0,0
