,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,81.5951514476399,6.45614777355484,0.33686282570668,19.1655097590865,7.18494347507546e-82,6.62308089532456e-78
2,Uty,42.6160415383032,-7.22342150539376,0.535692635280113,-13.4842650984303,1.93584755400512e-41,8.9223213764096e-38
3,Eif2s3y,28.8020244451383,-7.27637646480689,0.616622228815385,-11.8003797540445,3.88553988577492e-32,1.19389688890244e-28
4,Kdm5d,15.2558759798443,-5.9194309181878,0.575472612307131,-10.2862078778279,8.1316028815529e-25,1.87392788405387e-21
5,Ddx3y,11.4326552107714,-5.27825985044662,0.552231030265297,-9.55806458016474,1.19979353510612e-21,2.21193936132165e-18
6,Kdm6a,75.5382526484481,0.444486848960817,0.0903247436635827,4.92098655287993,8.61090475159585e-07,0.00132292200000351
7,Gpr88,7.99313281612231,-1.74727735410855,0.363759155220552,-4.80339072991619,1.56001039056466e-06,0.00205431082574643
8,Rmst,254.753495836512,0.33321210758824,0.0752568471531731,4.4276649925294,9.52587004339218e-06,0.0109761837574986
9,Cnksr2,198.907432213392,-0.484873135331709,0.114807192692866,-4.22336897156652,2.40677317553203e-05,0.0246507057022825
10,Neto1,115.566407095351,-0.485690595806045,0.117522588877202,-4.13274248334964,3.58460271907682e-05,0.0304925589364946
11,Tsix,4.49518100676896,2.12091574626895,0.513626263864468,4.12929769266745,3.63873018335258e-05,0.0304925589364946
12,2010300C02Rik,30.6029872426123,-0.686368784031107,0.171463637464777,-4.00299908586801,6.25445439373413e-05,0.0411811147153151
13,Rgs9,60.7432187105774,-0.681683386225277,0.168955706432279,-4.03468696393815,5.46751402125082e-05,0.0411811147153151
14,Sh3rf2,7.32771557494183,-1.33983157786979,0.33330010255296,-4.01989548640148,5.82239650856852e-05,0.0411811147153151
15,Sipa1l1,123.573419577768,-0.432636212584482,0.109151308102779,-3.96363745065799,7.38163301449431e-05,0.0453625954184057
16,Rbfox3,144.065066364192,-0.279849837132154,0.0713312062701148,-3.92324554378665,8.73640304877164e-05,0.04737186076681
17,Gda,27.8099975202513,-0.600199220409234,0.152660544760133,-3.93159359775831,8.43846302334231e-05,0.04737186076681
18,Sema3a,22.7953837749265,-0.756614482091677,0.198371442643188,-3.81413005828972,0.000136663486476224,0.0638629997147042
19,Itpr1,154.467191992601,-0.342099164620028,0.0893889211277654,-3.82708685040575,0.0001296687726797,0.0638629997147042
20,Slc24a4,20.4716781817041,-0.666615536067269,0.174931557207211,-3.8107220144256,0.000138561509469959,0.0638629997147042
21,Ngef,19.5270097513525,-0.709729035600239,0.187947991248432,-3.77619910106999,0.000159239719985779,0.0661393424021154
22,Drd2,18.6961199045538,-1.01526399552884,0.269310732884751,-3.76986087651883,0.00016333857275862,0.0661393424021154
23,Mid1,28.1873326662924,0.596620679843825,0.158368422495758,3.76729571742629,0.000165025480066029,0.0661393424021154
24,Kcnmb2,80.9811493987844,0.379045560871265,0.101581354594662,3.73144818144789,0.000190382174322258,0.0676007578907112
25,Arhgap10,23.7915833868878,-0.765778030543496,0.205243859176188,-3.73106427455219,0.000190672565107235,0.0676007578907112
26,Ddx3x,33.1809819908822,0.484548930621354,0.129411914918914,3.74423739054445,0.000180942516269286,0.0676007578907112
27,Rarb,88.3177608676913,-0.615021752827445,0.167499509044183,-3.67178242095752,0.000240864707784778,0.0822329954207439
28,Cyld,98.6329568812016,-0.307651924077461,0.0842266399100711,-3.65266766436298,0.000259530029993875,0.0854409934458407
29,Hpca,13.4051326889347,-0.822118457382805,0.226643627598432,-3.62736189009221,0.000286331843692668,0.0879802311719673
30,Clip4,35.676471541401,-0.467428057216166,0.128737030960263,-3.6308749217655,0.000282462057060032,0.0879802311719673
31,Tafa1,157.588162892696,0.438501479560455,0.121449410342217,3.61056902890558,0.000305525972235779,0.0908496261957873
32,Kcnj6,94.061196444417,0.283639027649858,0.0788569019487197,3.59688271591379,0.000322053604759399,0.0927715665210043
