"Cluster","Activated_Percentage_Learner_mean","Activated_Percentage_Non_Learner_mean","Activated_Percentage_Difference","p_value","AdjustedPValue"
"HY NSCs_2",64.3186183078405,38.1839509933137,26.1346673145267,3.15395314777135e-06,0.000205006954605138
"TH Prkcd Grin2c Glut_3",40.299821393728,36.8346165871613,3.46520480656672,5.16803208308743e-05,0.00167961042700341
"TH Prkcd Grin2c Glut_6",40.6106039892399,34.7442522059017,5.86635178333823,0.00139558294230827,0.0302376304166793
"TH Prkcd Grin2c Glut_2",36.4615545599214,33.6307700597956,2.83078450012584,0.00335555766089011,0.0545278119894643
"TH Sema5b-Ntrk Glut",37.1529989941704,34.8606807099177,2.29231828425275,0.0050635130520166,0.0658256696762158
"PO-MEA Slc17a7 Glut",42.5892862915895,67.565990089575,-24.9767037979855,0.0149128887293908,0.138476823915772
"RT-ZI Gnb3 Gaba_2",19.3943520018887,17.0087613337049,2.38559066818374,0.0128738608888558,0.138476823915772
"RE-Xi Nox4 Glut",28.942007417053,24.8542187241701,4.08778869288293,0.0689846117403674,0.498222195902653
"VMH Nr5a1 Glut_2",19.2855418407407,15.2476266276107,4.03791521312998,0.0686022367491041,0.498222195902653
"AV Col27a1 Glut",26.0446511282673,19.0772793031702,6.9673718250971,0.0768237007115909,0.499354054625341
"TH Prkcd Grin2c Glut_7",46.5577384246566,48.9462089710708,-2.3884705464142,0.0935628372277785,0.552871310891418
"AHN-PVHd-PVR Mixed Gaba",8.50353325451506,7.20871493874849,1.29481831576657,0.18046423168664,0.611354065357484
"LHA Pmch Glut",30.6735098235098,13.4090909090909,17.2644189144189,0.192502687242775,0.611354065357484
"PH-LHA-PVH-SO-PVa Nxph4 Glut",23.521645370875,21.5174389214187,2.00420644945629,0.20691983750561,0.611354065357484
"Pitx2 Glut",29.2068148043289,29.972804972805,-0.765990168476076,0.126248461970622,0.611354065357484
"PVH-SO-PVa Agtr1a Glut",26.7232784620003,34.6043123543124,-7.88103389231209,0.150730167274939,0.611354065357484
"RT-ZI Gnb3 Gaba_1",13.3977600658715,6.96142093200917,6.43633913386235,0.206816900684144,0.611354065357484
"TH Prkcd Grin2c Glut_4",41.8343541898015,36.0775715737785,5.75678261602298,0.1603036673874,0.611354065357484
"TRS-BAC Sln Glut",9.0756935101544,12.1562770562771,-3.08058354612266,0.14148173866416,0.611354065357484
"TU-ARH Otp Six6 Gaba",9.57262336943992,17.2958977916804,-7.72327442224044,0.117088843685226,0.611354065357484
"VMH Nr5a1 Glut_1",25.5622364448523,34.4444444444444,-8.88220799959215,0.181013098742495,0.611354065357484
"ZI Pax6 Gaba",13.6691403190166,11.2063148785364,2.46282544048015,0.202007643872469,0.611354065357484
"SCH Six6 Cdc14a Gaba",9.51943805562683,12.7890192270997,-3.26958117147289,0.217720303539917,0.615296510004113
"HY NSCs_1",77.811686747374,68.4244102126114,9.38727653476263,0.254635259114809,0.636588147787022
"LH-MH Glut",28.7640819219767,19.5454545454545,9.21862737652211,0.250506383073412,0.636588147787022
"PF Fzd5 Glut",32.2450561076136,14.2620232172471,17.9830328903665,0.250936301918571,0.636588147787022
"PVN Mixed Glut",49.4160144121444,49.1294979530274,0.286516459117081,0.280657887274039,0.650781068141354
"SNc-VTA-RAmb Foxa1 Dopa",48.7619047619048,50,-1.23809523809524,0.290348476555373,0.650781068141354
"STN-PSTN Pitx2 Glut",23.7588758226699,7.24840660902042,16.5104692136495,0.274001881558015,0.650781068141354
"TH Prkcd Grin2c Glut_1",47.6577085324688,35.2092352092352,12.4484733232336,0.35235962945251,0.763445863813771
"STR D1 Gaba",16.8351088616193,18.0556543599269,-1.22054549830759,0.390186743512904,0.81813349446254
"Hist Gaba",23.5887989517185,28.4558823529412,-4.86708340122272,0.443961345142918,0.848749630420284
"PH-LHA-MM Foxb1 Glut",16.4394973276355,6.98053022779934,9.45896709983613,0.425162236083903,0.848749630420284
"PO-CEA-BST Meis2 Gaba",19.3205397511228,20.5501685919299,-1.22962884080702,0.433447500756867,0.848749630420284
"AD Serpinb7 Glut",43.008658008658,32.2678995840761,10.740758424582,0.485013299541821,0.900738984863382
"Chat GABA",40.5977447389212,39.2233360035218,1.37440873539945,0.642831713395588,0.977995880842511
"DMH Gaba",11.7706830715767,12.0533729227746,-0.282689851197992,0.684926463707155,0.977995880842511
"DMH Hmx2-Vgll1 Glut",24.2824128818054,23.4710743801653,0.811338501640094,0.728415325818341,0.977995880842511
"GPe-SI Sox6 Cyp26b1 Gaba",19.3833778748321,21.6281646276297,-2.24478675279755,0.61172240138853,0.977995880842511
"Lhx6 Gaba",21.895318303987,21.9226576044758,-0.0273393004887517,0.726058460596536,0.977995880842511
"Mixed",21.6597217658898,21.8537721813354,-0.194050415445645,0.609046161379707,0.977995880842511
"Mixed Meis2 Gaba",37.5184844409126,37.5500719775915,-0.0315875366788987,0.591782912105525,0.977995880842511
"PO-COAa-PAA-MEA Barhl2 Glut",28.1067685562436,30.2168283840576,-2.11005982781401,0.737258433250508,0.977995880842511
"PV-PT Ntrk1-Sp9 Glut",25.399195734635,25.9728446628263,-0.573648928191371,0.547285795928541,0.977995880842511
"PVpo-VMPO-MPN Hmx2 Gaba",11.9594381023605,15.8126810238316,-3.85324292147109,0.691317176749126,0.977995880842511
"STR D1-D2 Gaba",25.8644665666751,26.6718875436307,-0.807420976955594,0.570863504461984,0.977995880842511
"STR-PAL Chst9 Gaba",15.6108009781633,16.2235524889079,-0.612751510744587,0.698042609557759,0.977995880842511
"TH Prkcd Grin2c Glut_8",48.9716303833466,51.7797668203327,-2.80813643698603,0.619694023494873,0.977995880842511
"ZI Mixed Gaba",20.1083253288352,23.3150153440341,-3.20669001519882,0.667773598875508,0.977995880842511
"ADP-MPO Trp73 Glut",25.9102934102934,16.7619047619048,9.14838864838865,1,1
"AHN Onecut3 Gaba",15.5028862046575,15.7502726747738,-0.247386470116377,0.90093676423748,1
"ARC Mixed Glut",50.2730920946304,55.6544263451326,-5.38133425050221,0.95964372888728,1
"GPi Tbr1 Cngb3 Gaba-Glut",23.9994380619381,22.2275432900433,1.77189477189477,0.792728176723026,1
"Lhx6-Lhx8 Gaba",12.606997994835,13.9705053273625,-1.36350733252753,1,1
"NDB-SI-MA-STRv Lhx8 Gaba",26.7485478038326,25.8704286386021,0.878119165230483,0.835948230288101,1
"PO-MEA Glut",23.290111971816,24.7930090205963,-1.50289704878029,0.90068704382369,1
"PO-MEA-BST Mixed Gaba",19.6083252569255,20.4352188146995,-0.826893557774024,0.835601066140952,1
"PVH-SO-PVa Avp Glut",15.1605158650274,15.9450482562611,-0.784532391233624,1,1
"SCsg Gabrr2 Gaba",17.7941176470588,12.5,5.29411764705882,1,1
"SI-MA-LPO-LHA Skor1 Glut",22.1762144931347,23.1276860812578,-0.951471588123123,0.96263595625159,1
"SI-MPO-LPO-ADP Lhx8 Gaba",11.0155293723053,15.7524135461935,-4.73688417388823,0.781557937889137,1
"TH Prkcd Grin2c Glut_5",47.5151240826298,54.7698412698413,-7.25471718721146,0.88714254697616,1
"TH-PVT-RE Ntrk1-Nox4 Glut",38.000222000222,39.5086444381115,-1.50842243788952,0.911109817859618,1
"Trh Glut",23.8261437436427,23.72328231818,0.102861425462624,0.966580467705564,1
"ZI-PVH-SBPV Pax6-Prox1 Gaba",10.3354554854383,12.1010578689401,-1.76560238350179,0.861544169172541,1
