"Cluster","Slope","Intercept","p_value","r_squared","AdjustedPValue"
"TH-PVT-RE Ntrk1-Nox4 Glut",-72.7179354819887,14532.1599972813,0.000532833730030075,0.495488054961905,0.0346341924519549
"PF Fzd5 Glut",49.7103217768688,10439.5495686479,0.0210184557470578,0.306953001492196,0.683099811779378
"ADP-MPO Trp73 Glut",36.7865836548419,10974.7591280562,0.0619477915772273,0.19020186331655,0.901457809879266
"AHN-PVHd-PVR Mixed Gaba",298.581850645204,9287.32439548127,0.0474407457016539,0.200958722693663,0.901457809879266
"STR D1 Gaba",-181.40924487788,14736.0543927675,0.0693429084522512,0.171654636400149,0.901457809879266
"Mixed",-148.510343944188,14984.8994268662,0.0874754961962021,0.153577131670151,0.947651208792189
"AD Serpinb7 Glut",16.1097278483006,10990.5368988205,0.327111189629604,0.0600348205239119,0.955284577402099
"AHN Onecut3 Gaba",20.2789592699284,11447.4940427825,0.794271751686755,0.00387654712379232,0.955284577402099
"ARC Mixed Glut",-10.9383301031353,12333.7597926742,0.734490711303386,0.00694386675225421,0.955284577402099
"AV Col27a1 Glut",-8.07384123363738,11814.7355590712,0.773353023597634,0.00501165627221064,0.955284577402099
"Chat GABA",-16.2786980281174,12504.8837157895,0.494317890127307,0.0263269057368479,0.955284577402099
"DMH Gaba",60.0945576945895,11090.077089652,0.539475743988201,0.0212755395292434,0.955284577402099
"DMH Hmx2-Vgll1 Glut",50.5889423124381,10534.7227248242,0.151343043827648,0.110910232665457,0.955284577402099
"GPi Tbr1 Cngb3 Gaba-Glut",-28.1092107720019,12420.4208093684,0.302650575978515,0.0588752562115221,0.955284577402099
"HY NSCs_1",32.7969851335861,8954.53390845991,0.273028423211642,0.091545338556917,0.955284577402099
"HY NSCs_2",21.6100187714554,10470.7689609803,0.298803802036583,0.0672309696913849,0.955284577402099
"LH-MH Glut",-13.4118921787176,12257.9088937267,0.392942801656819,0.0566590347608134,0.955284577402099
"LHA Pmch Glut",-8.65414625134378,12207.8345933254,0.581499980552473,0.0182354868819767,0.955284577402099
"Lhx6 Gaba",5.7814915794471,11638.8324061682,0.791815570471846,0.00397166573395876,0.955284577402099
"Lhx6-Lhx8 Gaba",-84.3758625663373,12765.9642878402,0.253790043082735,0.0716762940858117,0.955284577402099
"Mixed Meis2 Gaba",-31.4020686429526,12940.5176814606,0.731773452898252,0.00668837654641681,0.955284577402099
"PH-LHA-MM Foxb1 Glut",32.3995391276469,11382.3960457889,0.340017324661084,0.0506647779834085,0.955284577402099
"PH-LHA-PVH-SO-PVa Nxph4 Glut",-30.8474018970448,12475.181420906,0.78207838145217,0.00436086395296787,0.955284577402099
"Pitx2 Glut",-20.5502684933794,12328.7879487107,0.499928391923121,0.0271900800184949,0.955284577402099
"PO-CEA-BST Meis2 Gaba",-38.6908079182295,12539.6264593803,0.600768174988459,0.0155192963571643,0.955284577402099
"PO-COAa-PAA-MEA Barhl2 Glut",-46.0369842073813,13039.2626303869,0.260319108172958,0.0698053860216665,0.955284577402099
"PO-MEA Glut",-61.0981607427323,13074.2028097592,0.116627893931444,0.131148668272963,0.955284577402099
"PO-MEA Slc17a7 Glut",-9.93996660553051,12333.2647638453,0.583324897926793,0.028214990420755,0.955284577402099
"PO-MEA-BST Mixed Gaba",61.1079043981878,10556.5185500115,0.373567659055092,0.0442130988563286,0.955284577402099
"PV-PT Ntrk1-Sp9 Glut",-33.9271809335076,12626.5761770155,0.434049156823355,0.0343484718066539,0.955284577402099
"PVH-SO-PVa Agtr1a Glut",-45.7325774719052,13060.263426379,0.193257157526685,0.110079948629805,0.955284577402099
"PVH-SO-PVa Avp Glut",-19.5395158537028,12069.1525371087,0.663279290257023,0.0107691624920614,0.955284577402099
"PVN Mixed Glut",-7.98633058664186,11893.8000359957,0.730592508781585,0.0102473429319818,0.955284577402099
"PVpo-VMPO-MPN Hmx2 Gaba",33.1269889077592,11300.1326483068,0.520965718070175,0.0232561781317811,0.955284577402099
"RE-Xi Nox4 Glut",-65.8715429144049,13626.0363883602,0.308225226734888,0.0575731141632267,0.955284577402099
"SCH Six6 Cdc14a Gaba",-88.7841003695186,12640.3666417588,0.26688262288552,0.0871859718191914,0.955284577402099
"SCsg Gabrr2 Gaba",27.347825075261,11422.3624917434,0.258883311895484,0.138948624447922,0.955284577402099
"SI-MPO-LPO-ADP Lhx8 Gaba",-17.8433849231063,11982.7019614451,0.725009936968399,0.00704310491950752,0.955284577402099
"SNc-VTA-RAmb Foxa1 Dopa",16.5384913441176,11556.6042583824,0.483653628270226,0.266613575598502,0.955284577402099
"STR-PAL Chst9 Gaba",-28.7177954484689,12205.1982811044,0.742616539618169,0.00614076650218571,0.955284577402099
"TH Prkcd Grin2c Glut_1",-26.0795314721187,12928.3851619199,0.35137948679229,0.0512437955306512,0.955284577402099
"TH Prkcd Grin2c Glut_2",-17.454865438756,12374.9625781017,0.654197819738412,0.0113952298707689,0.955284577402099
"TH Prkcd Grin2c Glut_3",-15.5183137354822,12374.2539612712,0.736343803814045,0.00645441256067293,0.955284577402099
"TH Prkcd Grin2c Glut_4",-11.88599830901,12268.9192044639,0.808317719340237,0.00335600142177052,0.955284577402099
"TH Prkcd Grin2c Glut_5",7.19279939346014,11391.6137792199,0.726897087524153,0.00736195830870669,0.955284577402099
"TH Prkcd Grin2c Glut_7",-30.5049657004593,13196.9427843103,0.569849409485627,0.0182760090610167,0.955284577402099
"TH Prkcd Grin2c Glut_8",15.5441548921727,11028.8103701816,0.677024009343232,0.00986080102034023,0.955284577402099
"TH Sema5b-Ntrk Glut",-56.9562739803986,13859.7774385546,0.434210253960003,0.0343248211499168,0.955284577402099
"Trh Glut",-103.815819550988,14447.7188367132,0.13420701625891,0.120224955582407,0.955284577402099
"TRS-BAC Sln Glut",14.2215311534826,11635.2126391534,0.499023888989127,0.0290370802859517,0.955284577402099
"TU-ARH Otp Six6 Gaba",-22.2688814462328,12055.6899758025,0.570990514433155,0.0181691016749826,0.955284577402099
"VMH Nr5a1 Glut_2",-41.609106046106,12605.5445862024,0.533351926542822,0.0219175434934181,0.955284577402099
"ZI Mixed Gaba",-43.7561070763208,12707.2564857247,0.56475491110105,0.0187582875666234,0.955284577402099
"ZI Pax6 Gaba",130.066362369315,10178.6850257185,0.182764470813592,0.0963949168884092,0.955284577402099
"ZI-PVH-SBPV Pax6-Prox1 Gaba",-115.974887640328,13168.766828077,0.131511383803793,0.121801447487061,0.955284577402099
"Hist Gaba",7.48730339381021,11665.6235887256,0.827679323533567,0.00496845055752025,0.958804754083309
"RT-ZI Gnb3 Gaba_1",-8.08590025665558,11868.9182225526,0.855548857489722,0.00189112759909808,0.958804754083309
"VMH Nr5a1 Glut_1",4.41935395707628,11731.2906448896,0.84814184922598,0.00221882902142742,0.958804754083309
"SI-MA-LPO-LHA Skor1 Glut",9.36070706652826,11561.6865226802,0.900188361440003,0.000898144423829664,0.991732940569495
"STN-PSTN Pitx2 Glut",3.0507736279135,11921.544956394,0.916508328530988,0.000813181756432778,0.992884022575237
"GPe-SI Sox6 Cyp26b1 Gaba",-2.26541810792103,11825.5924587912,0.962166601337573,0.000128514839941617,0.9951815619752
"NDB-SI-MA-STRv Lhx8 Gaba",-1.31943591339691,11817.0297874368,0.980177606986794,3.5261335845077e-05,0.9951815619752
"RT-ZI Gnb3 Gaba_2",1.12706635740345,11759.7036668332,0.986923672696697,1.53430615584626e-05,0.9951815619752
"STR D1-D2 Gaba",-2.39212832081289,11840.5158945536,0.973610649447677,6.25038970731125e-05,0.9951815619752
"TH Prkcd Grin2c Glut_6",-0.387064843103539,11795.5160267468,0.9951815619752,2.08315844963854e-06,0.9951815619752
