"Cluster","Slope","Intercept","p_value","r_squared","AdjustedPValue"
"HY NSCs_2",0.451696608117116,5.40970594228378,0.0011508141586613,0.493484184816658,0.0748029203129848
"TH-PVT-RE Ntrk1-Nox4 Glut",-0.481426629395298,49.2667946788716,0.00495742298583766,0.362673358547002,0.161116247039724
"AHN-PVHd-PVR Mixed Gaba",2.77382556579188,7.88848113453829,0.014372864122817,0.289630085088919,0.233559041995775
"GPe-SI Sox6 Cyp26b1 Gaba",0.834833375384542,14.3535704648314,0.014011462893286,0.291448268021551,0.233559041995775
"PH-LHA-MM Foxb1 Glut",0.528277538264448,24.5604359429083,0.0346229610460231,0.224935549189416,0.375082077998583
"PVH-SO-PVa Agtr1a Glut",-0.510057875290514,45.6139492792499,0.0298556245336357,0.277368720492021,0.375082077998583
"RT-ZI Gnb3 Gaba_2",0.994960891983812,12.874923926795,0.0482395211144468,0.199678085452218,0.447938410348435
"DMH Gaba",1.3246004088458,15.8345064689493,0.068487994198923,0.172617726996008,0.494635513658889
"SCH Six6 Cdc14a Gaba",-1.00159633570092,40.2201257155017,0.0662009636782743,0.220905003627783,0.494635513658889
"AD Serpinb7 Glut",0.188568328219923,23.3706720298404,0.13930887038542,0.131405252027459,0.7449984421018
"ADP-MPO Trp73 Glut",0.223673386528385,26.3877429089881,0.151609016637451,0.117069808547637,0.7449984421018
"AV Col27a1 Glut",0.233810339456276,24.6779106235996,0.252153318865224,0.076350383139832,0.7449984421018
"HY NSCs_1",0.20845883373091,10.0622258410657,0.185201583581237,0.13086204026856,0.7449984421018
"PF Fzd5 Glut",0.230235014116516,26.428775664279,0.231580298080245,0.0939059729915616,0.7449984421018
"PO-MEA Slc17a7 Glut",-0.179274657269683,45.330340623823,0.206961701153802,0.140505126378977,0.7449984421018
"PVN Mixed Glut",-0.207251941245914,37.5344050183709,0.215828190084009,0.124551762708399,0.7449984421018
"PVpo-VMPO-MPN Hmx2 Gaba",0.53073426634508,23.3554351430409,0.175078622103486,0.0996859622328299,0.7449984421018
"RT-ZI Gnb3 Gaba_1",0.442673453800729,26.1960501861766,0.186977262778463,0.0946534306182091,0.7449984421018
"TH Prkcd Grin2c Glut_2",0.345079140168947,19.2915716832686,0.244697663917017,0.0743760007883702,0.7449984421018
"TH Prkcd Grin2c Glut_3",0.41132475490176,15.3046580369008,0.240292153777715,0.0757255940949872,0.7449984421018
"TH Prkcd Grin2c Glut_4",0.457918334819583,12.2232626458003,0.217505493709023,0.0831825445782908,0.7449984421018
"ZI Pax6 Gaba",1.02343757097376,18.4457759952728,0.175121484865586,0.0996671833068294,0.7449984421018
"Mixed",-0.652445178641408,45.1268280304819,0.345776519037207,0.0495001510967646,0.759302175513406
"Mixed Meis2 Gaba",-0.667091407827313,55.6954897648271,0.341287522074678,0.0504057661136353,0.759302175513406
"NDB-SI-MA-STRv Lhx8 Gaba",0.385726000367209,20.3075086472893,0.341683961416832,0.0503251775118312,0.759302175513406
"PV-PT Ntrk1-Sp9 Glut",-0.338648618236855,39.4954499471844,0.310063814268309,0.0571499445959659,0.759302175513406
"SI-MA-LPO-LHA Skor1 Glut",0.532701208915619,18.6078064146278,0.350447157929264,0.0485737419477796,0.759302175513406
"TRS-BAC Sln Glut",0.173802006580376,28.8475696527166,0.287123208209288,0.0704442771083359,0.759302175513406
"TU-ARH Otp Six6 Gaba",-0.288354336652201,34.614221121509,0.338996217217978,0.0508738905551255,0.759302175513406
"VMH Nr5a1 Glut_2",0.527490616397672,20.5861389702409,0.302870342464048,0.0588233712742724,0.759302175513406
"Hist Gaba",0.245923492567222,30.164467412337,0.37232544839259,0.0802304306431387,0.780682391790915
"TH Sema5b-Ntrk Glut",0.477065812102499,13.630340727882,0.39658195193098,0.0402149061756432,0.805557089859804
"STR D1 Gaba",-0.651967093245134,41.6708602841152,0.416361396158903,0.0370248567838167,0.820105780312991
"AHN Onecut3 Gaba",0.422374101134658,24.1165963874283,0.480056981917791,0.0280836551048292,0.845678795818822
"Chat GABA",0.127404201988875,25.3771428989867,0.489348148742625,0.0269298116689277,0.845678795818822
"GPi Tbr1 Cngb3 Gaba-Glut",-0.14542903948953,34.3599865145136,0.494396834478696,0.0263174075228274,0.845678795818822
"SI-MPO-LPO-ADP Lhx8 Gaba",-0.283952909019316,34.2692420234579,0.466849229634261,0.029785688399525,0.845678795818822
"TH Prkcd Grin2c Glut_1",0.153548687986677,24.0198114023834,0.479771124254243,0.0297965632222306,0.845678795818822
"PO-MEA Glut",-0.189833159640643,35.0683438600226,0.540759960880855,0.0211425366499069,0.848233239059351
"PO-MEA-BST Mixed Gaba",0.32116033031041,24.6164464595792,0.548089169853734,0.0203941351975873,0.848233239059351
"TH Prkcd Grin2c Glut_8",-0.179104392307279,39.7069017591759,0.53387409626857,0.0218622957884134,0.848233239059351
"ZI-PVH-SBPV Pax6-Prox1 Gaba",-0.393822154554751,35.7630572821897,0.519170751884833,0.0234547141372096,0.848233239059351
"STN-PSTN Pitx2 Glut",0.139651692288449,30.723513585656,0.564076103001262,0.0243246828813922,0.852673178955395
"PO-COAa-PAA-MEA Barhl2 Glut",-0.173783426505686,35.8005844503583,0.588135150622221,0.0166110559403959,0.868836017964645
"ARC Mixed Glut",0.101806973370195,24.4836890684479,0.68930732464372,0.00963564926739743,0.902239640605972
"DMH Hmx2-Vgll1 Glut",0.0785078056241289,29.1151646526192,0.779659131738411,0.00446058092000213,0.902239640605972
"LH-MH Glut",-0.0250341308088902,30.9756775870099,0.828152224485435,0.00375948635722774,0.902239640605972
"Lhx6 Gaba",0.0623546909628918,29.5224812649279,0.7127011740764,0.00771500985802861,0.902239640605972
"Lhx6-Lhx8 Gaba",0.105716048417541,29.8131618880356,0.856008219199836,0.00187899775739192,0.902239640605972
"PH-LHA-PVH-SO-PVa Nxph4 Glut",0.294310778921107,24.4182669573938,0.732923372135949,0.0066290763161367,0.902239640605972
"Pitx2 Glut",0.0718604409898102,28.2828518530143,0.756432001445751,0.00581091133498393,0.902239640605972
"PO-CEA-BST Meis2 Gaba",0.153757115179979,28.0305305330291,0.788729697090224,0.00409291006310116,0.902239640605972
"PVH-SO-PVa Avp Glut",-0.137690936129757,33.0836873191982,0.6918861180741,0.00893038877370855,0.902239640605972
"RE-Xi Nox4 Glut",-0.0966339159931888,33.755851697064,0.848974839137398,0.00206913361180696,0.902239640605972
"SCsg Gabrr2 Gaba",-0.0619518837948252,37.094431835376,0.811243233197436,0.00667603452767577,0.902239640605972
"SNc-VTA-RAmb Foxa1 Dopa",0.0666372548882353,42.5377450992647,0.80446967524893,0.0382321078972587,0.902239640605972
"STR D1-D2 Gaba",-0.0982281275041244,33.5211989728643,0.860597811039542,0.0017600102987112,0.902239640605972
"STR-PAL Chst9 Gaba",-0.32641042345291,35.8776995559255,0.628945276574897,0.0132481047742858,0.902239640605972
"TH Prkcd Grin2c Glut_5",-0.0355504279795333,32.7074190889946,0.823285223628057,0.00301661134175692,0.902239640605972
"TH Prkcd Grin2c Glut_7",-0.0775664978525801,34.650325484032,0.852476004644978,0.00197330391433778,0.902239640605972
"Trh Glut",0.248942781391501,24.6518306034846,0.652077561959721,0.0115444156474161,0.902239640605972
"VMH Nr5a1 Glut_1",0.0758044160521888,29.5472852908258,0.669268596444205,0.0109918832391299,0.902239640605972
"LHA Pmch Glut",-0.0187621222965998,32.7052643164286,0.885145319046578,0.0012632083321613,0.913245170444882
