"Cluster","Slope_Activated_Percentage","Slope_Sac_Learner","Intercept","p_value_activated_percentage","p_value_sac_learner","r_squared","adjusted_p_values_activated","adjusted_p_values_sac_learner"
"GPe-SI Sox6 Cyp26b1 Gaba",0.569378155616301,-18.560875845077,25.2302677509863,0.0314626009717237,0.00147377337609345,0.615614399769506,0.774738226682689,0.00204256607082222
"HY NSCs_2",0.295017415070948,-12.8171185060725,18.1402914654517,0.036315854375751,0.0545777008636151,0.607291212577938,0.774738226682689,0.0572618500864158
"TH-PVT-RE Ntrk1-Nox4 Glut",-0.324990650810982,-17.4325232758757,48.5765334114636,0.0185527306164367,0.00232418617243472,0.636323962275265,0.774738226682689,0.00285254204070201
"AD Serpinb7 Glut",0.123659162838784,-21.8927627823976,33.3753123931478,0.175997776474119,0.000892610375553566,0.593443698954887,0.825977756298461,0.00182856893992982
"ADP-MPO Trp73 Glut",0.154531043912686,-21.3349941680455,34.59092505135,0.176951764666976,0.000949918204282342,0.562867426450334,0.825977756298461,0.00182856893992982
"AHN Onecut3 Gaba",0.494158961697028,-22.1241694539885,29.5757937710607,0.255081113032377,0.000530496506817397,0.52971994438629,0.825977756298461,0.00182856893992982
"AHN-PVHd-PVR Mixed Gaba",1.53606569794228,-18.0061075931293,23.6248080893808,0.108595088007794,0.00443349282752271,0.564769022122619,0.825977756298461,0.00506684894574024
"AV Col27a1 Glut",0.157434039466341,-19.6612468719422,32.5157059650666,0.292859233224621,0.000999998639024119,0.539903439444859,0.825977756298461,0.00182856893992982
"DMH Gaba",0.97924280455018,-20.2800130675001,25.885096080783,0.0699627924083904,0.000761656071978198,0.583059175208234,0.825977756298461,0.00182856893992982
"GPi Tbr1 Cngb3 Gaba-Glut",-0.182834568179369,-22.2508728050192,41.8870843799087,0.236120682127256,0.000492441643571864,0.53279526844381,0.825977756298461,0.00182856893992982
"Mixed",-0.565030271200727,-21.619477162171,49.726400867493,0.263768305220869,0.000663204206408702,0.528397061420018,0.825977756298461,0.00182856893992982
"NDB-SI-MA-STRv Lhx8 Gaba",0.302580212685933,-21.4925708073032,29.0704920630898,0.309741658611923,0.000751446017962154,0.522156160982672,0.825977756298461,0.00182856893992982
"Pitx2 Glut",-0.220276962829763,-24.1489257151717,44.1654222146393,0.23036436607684,0.000695509333399503,0.525739098028445,0.825977756298461,0.00182856893992982
"PO-CEA-BST Meis2 Gaba",0.592779184878169,-23.7280706097284,26.5328084018968,0.159993149269373,0.000296782684319496,0.548663012420385,0.825977756298461,0.00182856893992982
"PV-PT Ntrk1-Sp9 Glut",-0.294383262106302,-21.5852060885179,44.86684790726,0.226641657246161,0.000635373163772479,0.534439080612725,0.825977756298461,0.00182856893992982
"PVH-SO-PVa Agtr1a Glut",-0.291686176805806,-16.5503868159822,44.088689370064,0.121629162981684,0.00497293988059453,0.596591589283635,0.825977756298461,0.00548738193720776
"PVN Mixed Glut",-0.165728697617182,-20.4506498362596,44.369597676336,0.168840899370795,0.00403748210136973,0.600303292516147,0.825977756298461,0.00469816099068477
"PVpo-VMPO-MPN Hmx2 Gaba",0.30937009320246,-20.7398620217672,32.7859435547822,0.296129561247893,0.00117235658695964,0.523882521032354,0.825977756298461,0.00192386721962607
"RT-ZI Gnb3 Gaba_2",0.715180827932645,-19.9027654035854,23.9560057874232,0.0584215336577186,0.000872599941551507,0.590504348062297,0.825977756298461,0.00182856893992982
"SCH Six6 Cdc14a Gaba",-0.548259692061822,-17.6934221608402,41.4466262784062,0.197617174883435,0.00496282331534325,0.584904041961379,0.825977756298461,0.00548738193720776
"SI-MA-LPO-LHA Skor1 Glut",0.429284880951741,-21.5345054641368,27.4832693735638,0.304860030171869,0.000730850366676014,0.522764518063844,0.825977756298461,0.00182856893992982
"STN-PSTN Pitx2 Glut",-0.217741267901412,-26.2187844201393,44.2284581307027,0.30503935114243,0.00400470809766605,0.496006654237101,0.825977756298461,0.00469816099068477
"TRS-BAC Sln Glut",0.159912859168629,-22.9074244224821,36.6680953390509,0.16367117520042,0.000635445963364035,0.583351138343814,0.825977756298461,0.00182856893992982
