"Cluster","Slope","Intercept","p_value","r_squared","AdjustedPValue"
"TH-PVT-RE Ntrk1-Nox4 Glut",-92.7313070154247,15835.4346402401,0.0026787151051929,0.420347488774608,0.174116481837538
"AD Serpinb7 Glut",15.8060852438633,11549.7694896408,0.509505206710678,0.0295402749964323,0.954827529357989
"ADP-MPO Trp73 Glut",23.0025458861845,11775.9368473883,0.424330314927311,0.04031882657187,0.954827529357989
"AHN-PVHd-PVR Mixed Gaba",172.307691131809,10926.115925187,0.446448445156176,0.0345020274610928,0.954827529357989
"ARC Mixed Glut",-43.1856978498223,14893.1055204345,0.364952044894838,0.0515427892583531,0.954827529357989
"DMH Hmx2-Vgll1 Glut",49.2799229407835,11171.5933448706,0.328149600237218,0.0562704955924577,0.954827529357989
"GPe-SI Sox6 Cyp26b1 Gaba",-49.4367156795285,13392.2333960448,0.465499374290452,0.0317488367260996,0.954827529357989
"GPi Tbr1 Cngb3 Gaba-Glut",-25.6610449406768,12966.901173384,0.507884672064753,0.0262075946475019,0.954827529357989
"HY NSCs_1",40.5195328365135,9057.97007766434,0.389985785753083,0.0621679496540544,0.954827529357989
"HY NSCs_2",23.9181367461605,10939.3851515297,0.425125076128954,0.042890761499431,0.954827529357989
"LH-MH Glut",-15.3892311730044,13162.3826663113,0.444924032417086,0.0494233991152392,0.954827529357989
"LHA Pmch Glut",-14.9866392041225,13021.1599560919,0.514137900423533,0.0270709778744633,0.954827529357989
"Lhx6-Lhx8 Gaba",-158.208404961671,14206.9696389436,0.125337504856602,0.13261034458187,0.954827529357989
"Mixed",-196.397023668149,16624.282425217,0.109596311769644,0.143603600068593,0.954827529357989
"PF Fzd5 Glut",57.4163272652405,10784.8502522693,0.0901468499777213,0.191389642123469,0.954827529357989
"PH-LHA-MM Foxb1 Glut",36.0534516155644,11971.0596188125,0.469713818726319,0.031162783725303,0.954827529357989
"Pitx2 Glut",-49.2294819824042,13756.090071997,0.246302005864851,0.0830063721376338,0.954827529357989
"PO-CEA-BST Meis2 Gaba",-92.4632581920893,14241.0767299146,0.397590682428857,0.0424191830047113,0.954827529357989
"PO-MEA Glut",-90.9805344508339,14327.2300384561,0.0955745096530866,0.154822073473492,0.954827529357989
"PO-MEA Slc17a7 Glut",-24.3787151849326,13590.8633190928,0.368119240197427,0.0815931017831281,0.954827529357989
"PVH-SO-PVa Avp Glut",56.5017670252987,11561.34235381,0.36862491406846,0.0477799066873593,0.954827529357989
"RE-Xi Nox4 Glut",-162.486906481236,16951.2176392575,0.0645816149423003,0.186822308316917,0.954827529357989
"SCsg Gabrr2 Gaba",36.9072670298238,12400.5452649893,0.309932399385618,0.128079260577108,0.954827529357989
"SI-MA-LPO-LHA Skor1 Glut",-74.725282341456,14136.0198582822,0.474439616771595,0.0305151999598729,0.954827529357989
"SNc-VTA-RAmb Foxa1 Dopa",7.7961279069767,14041.6446511628,0.229653173768983,0.875415590430683,0.954827529357989
"STR D1 Gaba",-179.903606566322,15352.6804539229,0.221833500828455,0.0864258779414929,0.954827529357989
"STR-PAL Chst9 Gaba",-148.008285517692,14634.2712933479,0.250292614067238,0.0769282993003543,0.954827529357989
"TH Prkcd Grin2c Glut_2",-45.2928107478789,13916.4131668819,0.408234771343454,0.0405809551592657,0.954827529357989
"TH Prkcd Grin2c Glut_7",-96.9314505287244,16958.4294792426,0.230173883810341,0.0835068372636159,0.954827529357989
"TH Sema5b-Ntrk Glut",-82.7281480495385,15412.843392346,0.420293385527458,0.0385775660695485,0.954827529357989
"Trh Glut",-175.495857841486,16862.0267053437,0.0697869566985384,0.180518245450707,0.954827529357989
"TRS-BAC Sln Glut",33.0800541063519,11881.6431145698,0.26032088554348,0.0836062204933879,0.954827529357989
"VMH Nr5a1 Glut_2",-100.361666322896,14383.4377145761,0.280848882927877,0.0680151370278924,0.954827529357989
"ZI Mixed Gaba",-133.2022896874,15220.1285644517,0.205622468455872,0.09246366847112,0.954827529357989
"ZI-PVH-SBPV Pax6-Prox1 Gaba",-73.7652001380059,13258.8776350995,0.50908691273492,0.0260613420063256,0.954827529357989
"PO-MEA-BST Mixed Gaba",61.3601102816082,11168.773223616,0.531811334919769,0.0234022389065936,0.960214910271805
"TH Prkcd Grin2c Glut_3",-39.1641816132155,13873.5148038243,0.548057728118028,0.0216188340723311,0.962804116964103
"Chat GABA",-14.6972700136433,13029.9610727232,0.666459414651162,0.0111903275988269,0.973950566047688
"Lhx6 Gaba",12.2120876671755,12095.7280464833,0.695549600266303,0.00923403529932317,0.973950566047688
"Mixed Meis2 Gaba",-49.2744585582315,14200.4367466651,0.703934422748639,0.00870984363809176,0.973950566047688
"NDB-SI-MA-STRv Lhx8 Gaba",37.0447604374604,11364.7110736824,0.623143405583396,0.0145210941273081,0.973950566047688
"PO-COAa-PAA-MEA Barhl2 Glut",-30.2414296744996,13196.3819042948,0.613569552608475,0.0153287472885253,0.973950566047688
"PV-PT Ntrk1-Sp9 Glut",-21.9663944233888,12932.3291212613,0.721020096848562,0.00769487925332798,0.973950566047688
"PVH-SO-PVa Agtr1a Glut",-25.2897069407247,12899.379605663,0.63020586611394,0.0170100442439995,0.973950566047688
"PVpo-VMPO-MPN Hmx2 Gaba",24.8184809721659,12023.1947982718,0.734208888251334,0.00695914191681404,0.973950566047688
"SCH Six6 Cdc14a Gaba",-58.3446522871213,12812.5651532769,0.626934112659306,0.018705899138509,0.973950566047688
"SI-MPO-LPO-ADP Lhx8 Gaba",-32.9172367634179,12753.8404203429,0.645485206483363,0.0127385323575799,0.973950566047688
