"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","r_squared","adjusted_p_values_activated","adjusted_p_values_sex"
"AD Serpinb7 Glut",0.305719515133129,-22.8719023037384,44.5242525534585,0.0115091681309966,0.000884969170869753,0.416490707023516,0.262455852695771,0.00127828880236742
"HY NSCs_2",0.44290732634871,-13.1132655137497,23.0500609241907,0.00971228508723799,0.0780223298879841,0.54841479890736,0.262455852695771,0.0792414287924839
"PVH-SO-PVa Agtr1a Glut",-0.561244094284991,-19.9122065387155,70.4063968937012,0.0121133470474971,0.002627452653905,0.422018424984248,0.262455852695771,0.00310517131825136
"RT-ZI Gnb3 Gaba_2",1.2172893730332,-22.0010114952521,33.2515649046163,0.028823486207582,0.000578413977199431,0.410992529702153,0.468381650873208,0.00113930025812009
"ADP-MPO Trp73 Glut",0.251247293333987,-22.7392728642327,51.3439695959735,0.110612810923042,0.00100476147413812,0.380692042930883,0.676999359300691,0.00138956374082931
"ARC Mixed Glut",-0.232334444526139,-23.7558939873381,68.588136870231,0.10468594750868,0.00065792657906541,0.345002499249034,0.676999359300691,0.00122186364683576
"PH-LHA-MM Foxb1 Glut",0.518836189245407,-22.5205531537929,49.3545979248096,0.0533263520942237,0.000758210747698539,0.391669725544888,0.676999359300691,0.00123404164580687
"SCH Six6 Cdc14a Gaba",-0.905354333013351,-21.9849369592918,65.6988148389129,0.114569122343194,0.00363696323070335,0.371554503853566,0.676999359300691,0.00422147517849496
"SI-MPO-LPO-ADP Lhx8 Gaba",-0.485932960793556,-24.1362311340259,63.2779108681014,0.0793324225376051,0.000238513361920766,0.379384405666792,0.676999359300691,0.00113930025812009
"TH Prkcd Grin2c Glut_6",0.773466106490736,-23.9447737785299,26.9499302080273,0.0916125575201043,0.000273202718505722,0.37492608100349,0.676999359300691,0.00113930025812009
"TH Prkcd Grin2c Glut_8",-0.33857241352564,-25.3507486566895,74.7047015924687,0.103026145399564,0.000157694408470502,0.371305945331415,0.676999359300691,0.00113930025812009
"PF Fzd5 Glut",0.308262124029387,-18.8553668602494,47.4277390719146,0.128892692452253,0.00795340144360332,0.330034509915669,0.698168750783039,0.00891329472127958
"DMH Gaba",0.937228339961908,-23.9442757445677,45.8538244841177,0.191608567959081,0.000334485398097117,0.352606109489013,0.869239304444491,0.00113930025812009
"PO-MEA Slc17a7 Glut",-0.215717040043367,-19.3202259801129,68.8426299170164,0.200593685641037,0.0195846492106296,0.318845844383222,0.869239304444491,0.0205322935272729
"ZI Pax6 Gaba",0.83889379714524,-23.8107425090521,46.0054518525759,0.184295505197571,0.000354399135109876,0.353748894907704,0.869239304444491,0.00113930025812009
"TU-ARH Otp Six6 Gaba",-0.410540329668782,-21.6025897611125,60.7045207615175,0.225034884778982,0.0017127782951433,0.347944554226366,0.914204219414614,0.00218295272910421
"AHN Onecut3 Gaba",-0.702131618997696,-25.2458266605801,68.8456539081628,0.245637671096319,0.00022490907837377,0.345452000950749,0.93920286007416,0.00113930025812009
"AHN-PVHd-PVR Mixed Gaba",0.825852200555014,-23.1663064891379,49.9057476285144,0.44570546777789,0.000705233294155015,0.329836487487687,0.986521616184811,0.00123404164580687
"AV Col27a1 Glut",0.142748607709691,-21.8721360159393,51.6931088623123,0.424192257569776,0.00107784835368267,0.306745976057004,0.986521616184811,0.00142043534144575
"Chat GABA",-0.0933709883184153,-24.784705408456,61.2707204177542,0.533564265194481,0.000343800065839341,0.325825808987729,0.986521616184811,0.00113930025812009
"DMH Hmx2-Vgll1 Glut",0.0905242971977795,-24.4630082042548,55.1558729548258,0.707769949314742,0.000401913314902699,0.320681523564448,0.986521616184811,0.00113930025812009
"GPe-SI Sox6 Cyp26b1 Gaba",0.0806955807317156,-23.879905883656,55.3821681507902,0.789631320237225,0.000491591279398572,0.319230849292607,0.986521616184811,0.00113930025812009
"GPi Tbr1 Cngb3 Gaba-Glut",-0.150879196860373,-23.9285001218329,60.9730183432319,0.521856501071674,0.000813679020335409,0.312910661655577,0.986521616184811,0.00123404164580687
"Hist Gaba",-0.0257227424686,-25.4429139214511,62.792364248593,0.882289673596934,0.00209809613743402,0.366768340042442,0.986521616184811,0.00262262017179253
"HY NSCs_1",-0.0165968411398952,-19.0112654032311,48.06086386796,0.92983372918917,0.0113776243566795,0.275595148700588,0.986521616184811,0.0123257597197361
"LH-MH Glut",0.0178928820437081,-20.1441942902923,52.6980629167605,0.894704767853901,0.0108910243148245,0.241197430806424,0.986521616184811,0.0119985861095524
"LHA Pmch Glut",0.0617443645175423,-22.638243530439,55.5089517521407,0.598997667497585,0.00072975817940574,0.308253727061738,0.986521616184811,0.00123404164580687
"Lhx6 Gaba",0.0873653014394324,-23.6780661812647,54.990860306726,0.629452204884854,0.000535181448899801,0.322607581068637,0.986521616184811,0.00113930025812009
"Lhx6-Lhx8 Gaba",0.277047111436624,-25.3631046260131,54.2324559292372,0.615460981607379,0.000545048024891431,0.323013725567048,0.986521616184811,0.00113930025812009
"Mixed",-0.207482368625649,-23.435766554293,61.2890753892171,0.782191243254193,0.00109264257034289,0.319340924815594,0.986521616184811,0.00142043534144575
"Mixed Meis2 Gaba",0.181033733184267,-24.519115923916,50.5484755293779,0.693169343170642,0.000401747342083036,0.320998308588555,0.986521616184811,0.00113930025812009
"NDB-SI-MA-STRv Lhx8 Gaba",0.393254058345721,-22.8354599721829,46.0102053119163,0.349346184320992,0.000816366011841468,0.335876232496092,0.986521616184811,0.00123404164580687
"PH-LHA-PVH-SO-PVa Nxph4 Glut",-0.441656950648835,-24.3854066956778,67.4420981917516,0.524650873903641,0.000352903971239236,0.326181257536998,0.986521616184811,0.00113930025812009
"Pitx2 Glut",0.0112168080453983,-24.5093901451819,57.1890790848028,0.944477661243352,0.000641230685894486,0.316620603734231,0.986521616184811,0.00122186364683576
"PO-CEA-BST Meis2 Gaba",-0.174531574433087,-24.1986913105496,60.6367839087914,0.779444218376985,0.000404310274850701,0.319382629591515,0.986521616184811,0.00113930025812009
"PO-COAa-PAA-MEA Barhl2 Glut",0.0559231515756238,-24.1509960341138,55.5527450652758,0.830094902270481,0.000411395537084317,0.31870427547874,0.986521616184811,0.00113930025812009
"PO-MEA Glut",-0.0361619491819555,-23.9123826580185,57.8995423050809,0.901033231961657,0.000574147498516975,0.318063003463066,0.986521616184811,0.00113930025812009
"PO-MEA-BST Mixed Gaba",-0.25772278896757,-24.0682965282298,62.275917912493,0.627185800574068,0.000406289442965959,0.322672016215129,0.986521616184811,0.00113930025812009
"PV-PT Ntrk1-Sp9 Glut",-0.291311936543683,-23.9962265160327,64.5313874767335,0.377384717017681,0.000383155859555321,0.333899131878367,0.986521616184811,0.00113930025812009
"PVH-SO-PVa Avp Glut",-0.100634144180761,-23.9814457395068,58.705059867346,0.748320593735404,0.000437900463408077,0.319895941607274,0.986521616184811,0.00113930025812009
"PVN Mixed Glut",-0.10651201246504,-21.5154095936203,59.3259811676458,0.508282012028586,0.0193709985855797,0.255492407157498,0.986521616184811,0.0205322935272729
"PVpo-VMPO-MPN Hmx2 Gaba",0.16481879448525,-24.5024892955406,55.187216405701,0.582030177157217,0.000358964889734554,0.324068127957819,0.986521616184811,0.00113930025812009
"RE-Xi Nox4 Glut",0.379020327955996,-24.424848374547,46.8231650963016,0.380350291828729,0.000321352206900153,0.333701674576069,0.986521616184811,0.00113930025812009
"RT-ZI Gnb3 Gaba_1",0.267581570363155,-22.9310116005107,53.4306989630956,0.422052470759016,0.000839758548962937,0.331134987862427,0.986521616184811,0.00124055240187707
"SCsg Gabrr2 Gaba",0.0876995870917436,-18.9227468468019,54.8681029580213,0.60929795036045,0.0329237578148107,0.207958153676273,0.986521616184811,0.0339689564755983
"SI-MA-LPO-LHA Skor1 Glut",0.455404966013884,-24.9900228312382,47.3660005180872,0.296984079588341,0.000255794941555003,0.340190523532596,0.986521616184811,0.00113930025812009
"SNc-VTA-RAmb Foxa1 Dopa",-0.0150678245649465,-18.5436152905405,59.0476847644373,0.913272692456714,0.164018324961072,0.216468325960628,0.986521616184811,0.164018324961072
"STN-PSTN Pitx2 Glut",0.0865905046610034,-22.611940555125,57.7633482596403,0.704646387303167,0.00406694397866745,0.334844578970847,0.986521616184811,0.00463774313356814
"STR D1 Gaba",-0.0104122556682975,-24.0822812412289,57.3086003496319,0.986521616184811,0.000431629935837143,0.317744469188567,0.986521616184811,0.00113930025812009
"STR D1-D2 Gaba",0.298951699958485,-24.8876169370725,49.7704726439113,0.604398190403601,0.000394183480192059,0.323349262600381,0.986521616184811,0.00113930025812009
"STR-PAL Chst9 Gaba",0.516056535475812,-25.8965221557871,49.9031749004072,0.404048001872652,0.000320510166775679,0.332197002225239,0.986521616184811,0.00113930025812009
"TH Prkcd Grin2c Glut_1",-0.0343347864287982,-24.0125424732277,58.4234394459327,0.818269505938036,0.000810067153982904,0.30480614010656,0.986521616184811,0.00123404164580687
"TH Prkcd Grin2c Glut_2",0.228988288182246,-24.2307314368046,49.1863027569159,0.493158125251575,0.000539269555405552,0.325273947109367,0.986521616184811,0.00113930025812009
"TH Prkcd Grin2c Glut_3",0.255611949006004,-23.128120702062,46.5610934754631,0.502942752304389,0.000789600214416838,0.327092342331955,0.986521616184811,0.00123404164580687
"TH Prkcd Grin2c Glut_4",0.159156960959505,-23.7244418620877,50.5519765881291,0.635137645272439,0.000515182520390819,0.322448210676113,0.986521616184811,0.00113930025812009
"TH Prkcd Grin2c Glut_5",-0.0557387754117008,-22.9587876016361,59.504818313259,0.75066135170436,0.00220346122884046,0.290930227917096,0.986521616184811,0.00270235811084208
"TH Prkcd Grin2c Glut_7",-0.0190818339398497,-24.008550418105,57.9917072087045,0.962330081864135,0.000571351682915479,0.317785299059399,0.986521616184811,0.00113930025812009
"TH Sema5b-Ntrk Glut",0.0662303405169629,-23.9886456242899,54.6617859254875,0.901572776952109,0.000469080972834324,0.318059457424847,0.986521616184811,0.00113930025812009
