"","file","F_enrich","M_enrich"
"1","AD-Serpinb7-Glut",1,1
"2","ADP-MPO-Trp73-Glut",0,1
"3","AHN-Onecut3-Gaba",4,1
"4","AHN-PVHd-PVR-Mixed-Gaba",4,3
"5","ARC-Mixed-Glut",3,1
"6","AV-Col27a1-Glut",2,1
"7","Chat-GABA",3,1
"8","DMH-Gaba",4,3
"9","DMH-Hmx2-Vgll1-Glut",6,1
"10","GPe-SI-Sox6-Cyp26b1-Gaba",3,1
"11","GPi-Tbr1-Cngb3-Gaba-Glut",1,1
"12","Hist-Gaba",0,0
"13","HY-NSCs-1",1,1
"14","HY-NSCs-2",2,1
"15","LH-MH-Glut",1,1
"16","LHA-Pmch-Glut",2,3
"17","Lhx6-Gaba",3,1
"18","Lhx6-Lhx8-Gaba",9,6
"19","Mixed",8,5
"20","Mixed-Meis2-Gaba",7,1
"21","NDB-SI-MA-STRv-Lhx8-Gaba",4,2
"22","PF-Fzd5-Glut",4,1
"23","PH-LHA-MM-Foxb1-Glut",3,1
"24","PH-LHA-PVH-SO-PVa-Nxph4-Glut",13,9
"25","Pitx2-Glut",4,1
"26","PO-CEA-BST-Meis2-Gaba",4,1
"27","PO-COAa-PAA-MEA-Barhl2-Glut",4,1
"28","PO-MEA-BST-Mixed-Gaba",20,18
"29","PO-MEA-Glut",6,1
"30","PO-MEA-Slc17a7-Glut",2,1
"31","PV-PT-Ntrk1-Sp9-Glut",8,15
"32","PVH-SO-PVa-Agtr1a-Glut",1,1
"33","PVH-SO-PVa-Avp-Glut",4,1
"34","PVN-Mixed-Glut",2,1
"35","PVpo-VMPO-MPN-Hmx2-Gaba",6,1
"36","RE-Xi-Nox4-Glut",5,1
"37","RT-ZI-Gnb3-Gaba-1",2,1
"38","RT-ZI-Gnb3-Gaba-2",4,3
"39","SCH-Six6-Cdc14a-Gaba",3,1
"40","SCsg-Gabrr2-Gaba",0,0
"41","SI-MA-LPO-LHA-Skor1-Glut",9,3
"42","SI-MPO-LPO-ADP-Lhx8-Gaba",3,1
"43","STN-PSTN-Pitx2-Glut",2,1
"44","STR-D1-D2-Gaba",4,2
"45","STR-D1-Gaba",4,2
"46","STR-PAL-Chst9-Gaba",4,2
"47","TH-Prkcd-Grin2c-Glut-1",2,1
"48","TH-Prkcd-Grin2c-Glut-2",6,2
"49","TH-Prkcd-Grin2c-Glut-3",6,2
"50","TH-Prkcd-Grin2c-Glut-4",4,1
"51","TH-Prkcd-Grin2c-Glut-5",2,1
"52","TH-Prkcd-Grin2c-Glut-6",6,2
"53","TH-Prkcd-Grin2c-Glut-7",23,9
"54","TH-Prkcd-Grin2c-Glut-8",4,1
"55","TH-PVT-RE-Ntrk1-Nox4-Glut",2,1
"56","TH-Sema5b-Ntrk-Glut",4,2
"57","Trh-Glut",8,2
"58","TRS-BAC-Sln-Glut",1,1
"59","TU-ARH-Otp-Six6-Gaba",4,1
"60","VMH-Nr5a1-Glut-1",1,1
"61","VMH-Nr5a1-Glut-2",7,15
"62","ZI-Mixed-Gaba",6,5
"63","ZI-Pax6-Gaba",8,7
"64","ZI-PVH-SBPV-Pax6-Prox1-Gaba",4,1
