,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Cdh18,346.223954197129,-0.694358034537066,0.121884706456641,-5.69684298156043,1.22046231753602e-08,5.66782700263727e-05
2,Fat3,98.6480107979517,0.606662665795271,0.11240602299526,5.39706547415928,6.77396735211917e-08,0.000157291521916207
3,Xist,23.9422788453093,-6.38249134917796,1.32850464751615,-4.80426723467699,1.55319270316489e-06,0.00240434230449926
4,Zfp536,45.8355667965243,-1.01871899674215,0.221614871415597,-4.59679889817382,4.29031345160006e-06,0.00398484313384614
5,Kctd16,80.4259375427008,-0.972561645435756,0.210732705908342,-4.61514334589702,3.92824090572936e-06,0.00398484313384614
6,Ncald,63.511486000713,0.796727265445147,0.181726619625406,4.38420781219308,1.16408609330785e-05,0.0090100263622028
7,Frmd5,108.3118438697,-0.621473175513351,0.144188392622876,-4.31014705281313,1.63146021775027e-05,0.00984884458734252
8,Otof,8.26582206092732,1.18475887803722,0.277116300093639,4.27531284748273,1.90869081150049e-05,0.00984884458734252
9,Epha5,161.509455191596,0.397780401178225,0.0928017989619914,4.28634364449274,1.81637939687671e-05,0.00984884458734252
10,Kcnma1,135.374402169141,-0.498443268870819,0.11907917412574,-4.18581395554938,2.84146018068085e-05,0.0131957410790819
11,Clybl,6.05864047171155,1.4099120973831,0.346972421965447,4.06347020145454,4.8348497090173e-05,0.0204118564078876
12,Dcaf6,36.0285914386656,0.590724387864215,0.14731783292432,4.00986340986758,6.07538819650986e-05,0.0226742402051535
13,Ptprt,146.293774797284,0.560458336709763,0.140131552091667,3.99951565756682,6.3472248636304e-05,0.0226742402051535
14,Luzp2,162.411608418052,0.662856495955335,0.168307813508287,3.9383584287529,8.20409774972062e-05,0.025399886633135
15,Ptprk,76.0303456810902,0.599970427034216,0.152151434063508,3.94324529852139,8.03863586316307e-05,0.025399886633135
16,Gm42768,6.21458381500265,1.26633117839838,0.32812309572778,3.8593174174151,0.000113704171959647,0.0293356763655889
17,Ptprz1,45.2677226086929,0.610762444862422,0.158227038197044,3.86003840950259,0.00011336920376285,0.0293356763655889
18,Sv2c,12.4139737986287,1.04945138540921,0.271258378816156,3.86882569301377,0.000109360785011544,0.0293356763655889
19,Tmeff2,121.879106937376,0.381503548806335,0.0993231298758743,3.84103430170904,0.000122516991034677,0.0299457319139495
20,Kcnc2,142.980517421996,0.446191648049213,0.117230634089345,3.80610112292967,0.000141174680017985,0.0323498700289045
21,March3,15.0888070463582,0.863600891542072,0.227425413133671,3.79729283391247,0.00014628494199117,0.0323498700289045
22,Chd7,9.77515336927332,-1.94423555692958,0.513931199634919,-3.78306582342287,0.000154908426821047,0.0326997606434973
23,Nlgn1,798.189534636229,0.316616316524808,0.0841133668965279,3.76416172847169,0.000167108709980099,0.0337414282238079
24,Fgf13,58.7978100471143,0.474034815546185,0.128710354013863,3.68295790325561,0.000230543242486059,0.0446101174210524
25,Sema6d,102.056847238622,-0.537248366570362,0.147655133444882,-3.63853497021091,0.000274193400352339,0.0490345514072336
26,Stk38,18.1470064288893,-1.06910223549668,0.293852878204058,-3.63822278015694,0.000274525912271334,0.0490345514072336
27,Prkn,142.699401609949,0.335485036681929,0.0924940853418303,3.62709718618307,0.000286625432090192,0.049299574319513
28,Pdzrn4,134.189665021485,0.624919253381474,0.17413873471754,3.58862865516463,0.000332421938333959,0.0551345529151038
29,Kcnk9,12.9794073529635,0.903853302406841,0.252928151641731,3.57355753616204,0.000352163817235567,0.0563947850773094
30,Gm43341,8.62690694218571,1.06312476422016,0.301310625469966,3.52833479590028,0.000418182884642282,0.0606887911337111
31,Col18a1,7.93211653701346,1.30042419076021,0.367978505494806,3.53396780339544,0.000409370942795141,0.0606887911337111
32,Tcf4,61.1614376272888,-0.744116333248064,0.210403705690205,-3.53661229875717,0.000405294153823554,0.0606887911337111
33,Gpld1,9.47035241491691,0.96142657176857,0.276205733761984,3.4808349510842,0.000499853402829254,0.0703430061436077
34,Col11a1,28.4176930748453,-1.48204091075677,0.428267024825989,-3.46055340440685,0.000539066297338289,0.073540573374144
35,Cspg5,10.4699303633472,0.870547159871279,0.252279127826705,3.45073002023883,0.000559072528437451,0.073540573374144
36,Htr2c,129.856841546933,-0.602641268341202,0.174908645034371,-3.44546301998267,0.000570081964140651,0.073540573374144
37,Dlgap2,102.823678940154,0.368820017151182,0.107365872270183,3.435169941367,0.000592182342011538,0.0743268863865293
38,Plxnc1,23.7336039897241,0.772079610301272,0.227352470934646,3.39595873810939,0.000683886681963123,0.0835781513430722
39,Hivep2,106.731579630785,-0.391072900631304,0.11617516414972,-3.3662349736585,0.000762017673948672,0.0907387199440419
40,Vwc2l,51.5267652549357,0.477242798173331,0.14260499552322,3.34660645247608,0.000818072619646109,0.0934586371347782
41,C130071C03Rik,25.7342343879298,-0.852602667895731,0.254947263173461,-3.34423149824376,0.000825108553515484,0.0934586371347782
42,Cep170,33.6866523271987,-0.641904352546859,0.192655528234238,-3.33187611292632,0.000862626480067775,0.0953818422246368
43,Slc4a7,23.8748297427071,-0.77514704991631,0.233131468146651,-3.32493530829869,0.000884390531184944,0.0955141773679739
