,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,76.7931568166885,7.39662426850922,0.521590611267095,14.1808999409339,1.20293924497097e-45,2.02971938803952e-41
2,Uty,44.7917441101236,-7.15792356861287,0.514811506537153,-13.9039696621394,5.99235599404174e-44,5.05545113437331e-40
3,Eif2s3y,26.6211968366052,-7.8523122367905,0.656313852678372,-11.9642640555974,5.46802406852263e-33,3.07539900360608e-29
4,Kdm5d,17.9716566601498,-5.80123586790908,0.524441413097004,-11.0617424997977,1.92324391062162e-28,8.11272362597966e-25
5,Ddx3y,12.3267419777107,-7.04909766996258,0.663668542839409,-10.6214129719092,2.36947042352107e-26,7.99601489121421e-23
6,Greb1,5.61246481382732,-2.15564743075576,0.380698595939042,-5.66234667989403,1.49316771333554e-08,4.1990364711851e-05
7,Kdm6a,76.053892617704,0.507979530865557,0.0911396423684022,5.57363972103617,2.49471394111036e-08,6.01332976119359e-05
8,Tiam1,65.8649870677195,-0.481519434769017,0.102567700337318,-4.69464980871589,2.67063833801244e-06,0.00563271008466048
9,Tsix,2.92276397220275,3.19639687577039,0.68792604260566,4.64642516463454,3.37736572953718e-06,0.00633181021716454
10,Gabrb1,614.776362371585,-0.173072373717422,0.0388260074073167,-4.45764025906014,8.28668158417564e-06,0.0139821178369796
11,Cdh23,7.71419197834114,1.24264908919169,0.293669073760977,4.23146051191999,2.32178759915549e-05,0.035614111055046
12,Gm29650,0.965718918222016,-3.69101218976526,0.889435822987893,-4.14983531624126,3.3271456257554e-05,0.0467824401194757
13,Tcf7l2,25.3042604696369,0.867679545708248,0.210650726440513,4.11904369080483,3.80448013768353e-05,0.0493792256639493
