,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Xist,18.2878041547124,7.80488805999282,0.655055527562122,11.9148495533497,9.90447995959442e-33,6.95393537963124e-29
2,Uty,14.9123549519528,-7.02501408079342,0.653358560022121,-10.7521574073439,5.78914695870132e-27,2.0322800398521e-23
3,Eif2s3y,10.2525074302053,-6.46416628766386,0.660895622810574,-9.78091859675794,1.35970808542958e-22,3.1821701559337e-19
4,Kdm5d,6.30217709217736,-5.8042006090923,0.664326031376668,-8.73697602525734,2.39433275150693e-18,4.20265256208254e-15
5,Ddx3y,4.27119174437154,-5.2344355311055,0.672826208186816,-7.77977353945777,7.2654487904624e-15,1.02021431915673e-11
6,Galntl6,884.620096225384,-0.487275668779264,0.0996801361748506,-4.8883928882734,1.01662485617136e-06,0.00118962051919652
7,Nrxn3,376.552309175697,0.443821976775927,0.0934776291257065,4.74789509454809,2.05544594604578e-06,0.00206161228388392
8,Car10,337.281106544912,-0.39084514151838,0.0929398731313638,-4.20535479928995,2.60672900155399e-05,0.0228773053998882
9,Csmd1,711.697229167311,-0.26289506698034,0.0659823900829232,-3.98432167507038,6.76731525797438e-05,0.0475133204262381
10,Hs3st5,36.5157452248867,0.603338804550441,0.151371610008367,3.98581216462645,6.72496980959492e-05,0.0475133204262381
11,Cacna2d1,358.546712248544,-0.367703222582387,0.0928706976130634,-3.95930290213158,7.51688506713607e-05,0.0479782273239658
12,Man2a1,19.928338011657,-0.615619967332529,0.16282003646342,-3.78098408957694,0.00015620965824982,0.0913956675476653
