"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","r_squared","adjusted_p_values_activated","adjusted_p_values_sex"
"Trh Glut",-182.622741805893,-936.970256125373,18113.1718598293,0.00955927022449612,0.237535451940787,0.226446527702424,0.621352564592248,0.405504200446513
"TH-PVT-RE Ntrk1-Nox4 Glut",-51.6393013139441,-283.473430583083,15362.2544815442,0.031646421875253,0.742617757013926,0.171408457059368,0.685672473963815,0.742617757013926
"VMH Nr5a1 Glut_2",-150.221455737026,-1524.22024630219,16856.4116206468,0.0256701057189546,0.0789355518048162,0.181140495955735,0.685672473963815,0.405504200446513
"AD Serpinb7 Glut",-2.97581149582472,-1274.51708933378,14013.4922865104,0.864536719119428,0.199319764428516,0.0607395440127725,0.965568009372331,0.405504200446513
"ADP-MPO Trp73 Glut",3.76304621290758,-958.813974626391,13622.6600971703,0.86697543740156,0.315411604611291,0.0397537436399968,0.965568009372331,0.405504200446513
"AHN Onecut3 Gaba",39.7516400827781,-849.887719036657,13100.2780064196,0.640547522471607,0.343673076611104,0.0428851384485956,0.965568009372331,0.405504200446513
"AHN-PVHd-PVR Mixed Gaba",154.298006516272,-689.674161528928,12354.7622735495,0.31358787179643,0.442702371114831,0.0675816659712731,0.965568009372331,0.471732034794492
"ARC Mixed Glut",-33.2742397835313,-1004.47692704202,15529.7932864128,0.0906991746882893,0.2713334727065,0.121704311811004,0.965568009372331,0.405504200446513
"AV Col27a1 Glut",15.0953035721881,-932.502440447388,13428.9400005854,0.556715620611675,0.307383452170467,0.0473969623127921,0.965568009372331,0.405504200446513
"Chat GABA",-22.6079347614128,-1119.61315382614,14789.475106864,0.274861197592758,0.206489432804772,0.0729703700355513,0.965568009372331,0.405504200446513
"DMH Gaba",30.0348451307656,-922.896129355519,13408.0724811068,0.764556330651,0.295892080651721,0.0388503170768146,0.965568009372331,0.405504200446513
"DMH Hmx2-Vgll1 Glut",47.0141868981539,-1139.93158254735,12753.6421536799,0.148743886541635,0.1899453681702,0.0997046359828231,0.965568009372331,0.405504200446513
"GPe-SI Sox6 Cyp26b1 Gaba",-19.4505055691988,-987.295524554982,14191.7708745491,0.646305764759179,0.266682417325173,0.0426517565264639,0.965568009372331,0.405504200446513
"GPi Tbr1 Cngb3 Gaba-Glut",-12.1237089323948,-1079.40305672466,14099.663281324,0.707142120014524,0.248203821788488,0.0492962310965064,0.965568009372331,0.405504200446513
"Hist Gaba",26.9585563549287,-1541.84912206036,13331.8406515731,0.218264097803759,0.110693098240277,0.153238786196804,0.965568009372331,0.405504200446513
"HY NSCs_1",41.5499353476783,-1437.78221348526,11129.2681063417,0.278755879824732,0.325077197808941,0.117353064238355,0.965568009372331,0.405504200446513
"HY NSCs_2",3.51086103827282,-1091.60353680682,13577.0229575584,0.917433217590892,0.490516269203463,0.0522365144469331,0.965568009372331,0.514250927390727
"LH-MH Glut",-20.9270633384392,-1006.73838149279,14674.3527056167,0.21824477056007,0.287913720421725,0.0926787781620615,0.965568009372331,0.405504200446513
"Lhx6 Gaba",3.21127431595364,-925.316992176275,13699.3617558317,0.898124460368866,0.296380662926794,0.0365376321705184,0.965568009372331,0.405504200446513
"Mixed",-49.5705633470678,-772.561066606634,14756.2445536252,0.626577809011856,0.410394421397213,0.0434717940998184,0.965568009372331,0.452129447302015
