"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","adjusted_p_values_activated","adjusted_p_values_sex"
"TH-PVT-RE Ntrk1-Nox4 Glut",-47.3935843214404,562.419471847479,14182.0497144352,0.00898661110476775,0.375915458313446,0.584129721809904,0.997597253741406
"ADP-MPO Trp73 Glut",25.707432150121,106.266967340383,11989.8676695016,0.128773854114315,0.877398692302617,0.730534205721902,0.997597253741406
"AHN-PVHd-PVR Mixed Gaba",158.031854531785,243.442024095195,11243.1958868318,0.175593304953011,0.716254833980972,0.730534205721902,0.997597253741406
"ARC Mixed Glut",-23.177081110332,37.18122378663,13826.0143205854,0.129657518519311,0.957126027196359,0.730534205721902,0.997597253741406
"Chat GABA",-20.3603409559657,-157.589187170969,13594.6711653049,0.203793776803626,0.813473601464833,0.730534205721902,0.997597253741406
"DMH Gaba",117.922174314887,74.4966613016686,11228.4807079884,0.12473272224017,0.908116965567427,0.730534205721902,0.997597253741406
"DMH Hmx2-Vgll1 Glut",42.5168304877874,-152.446942788577,11733.193417609,0.0920889666255237,0.814096966256735,0.730534205721902,0.997597253741406
"Hist Gaba",20.8139715366055,77.4636570646939,12240.4894416867,0.221722170402233,0.913494763407998,0.730534205721902,0.997597253741406
"LH-MH Glut",-17.1405087284423,-23.5569447886174,13296.0000135364,0.223104898966136,0.975414525298329,0.730534205721902,0.997597253741406
"PH-LHA-MM Foxb1 Glut",41.9234894625004,177.98128868667,12007.5808317861,0.159551470318349,0.794833409350279,0.730534205721902,0.997597253741406
"Pitx2 Glut",21.0619929491859,-131.779680374932,12124.2698255001,0.224779755606739,0.847782166331381,0.730534205721902,0.997597253741406
"PO-MEA Slc17a7 Glut",-20.4519035033372,125.020862294153,13590.0110199636,0.218332577837123,0.869567918278864,0.730534205721902,0.997597253741406
"PVH-SO-PVa Agtr1a Glut",-45.8684779287191,151.835954371298,13724.4657634758,0.0683297248217871,0.832034800026081,0.730534205721902,0.997597253741406
"SCH Six6 Cdc14a Gaba",-87.5449324553836,166.539711777945,13311.8642555755,0.16139512710365,0.831708461494098,0.730534205721902,0.997597253741406
"SNc-VTA-RAmb Foxa1 Dopa",15.8571622877243,1069.27796718453,11967.192243552,0.0540763323680971,0.135186601375926,0.730534205721902,0.997597253741406
"TH Prkcd Grin2c Glut_1",-19.6954543412284,-250.486618502986,13718.967162186,0.218356441715733,0.720151424463663,0.730534205721902,0.997597253741406
"Trh Glut",-116.109004058623,-18.263507346815,15464.3256559642,0.0360131093123974,0.976667175177294,0.730534205721902,0.997597253741406
"VMH Nr5a1 Glut_2",-78.4311479043149,-268.456367579243,14258.5647255243,0.143502922440576,0.691795288472638,0.730534205721902,0.997597253741406
"ZI Pax6 Gaba",136.536401734707,41.4536561861049,10879.5940821684,0.0412193723688619,0.947241537196009,0.730534205721902,0.997597253741406
"ZI-PVH-SBPV Pax6-Prox1 Gaba",-93.2670257466559,102.13062774284,13632.186106878,0.111596446621884,0.874133038912761,0.730534205721902,0.997597253741406
