"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","r_squared","adjusted_p_values_activated","adjusted_p_values_sex"
"PVH-SO-PVa Agtr1a Glut",-0.505026448740853,-13.4499355296387,54.9151031630835,0.000535601474595283,0.0011772889985995,0.53378039382564,0.0348140958486934,0.00191309462272418
"ARC Mixed Glut",-0.252421963477151,-15.8638615860158,55.0742934134866,0.00773248370233979,0.00040071336653408,0.419211000219129,0.251305720326043,0.00176559055787529
"RT-ZI Gnb3 Gaba_2",0.849231367697593,-14.1815937847041,25.3829012065796,0.02657296009287,0.00110839842046838,0.392160929476141,0.575747468678849,0.00184733070078064
"HY NSCs_2",0.246990159666572,-9.72193258360274,22.7982100896989,0.048179705215978,0.0809821856712135,0.463443628247082,0.782920209759642,0.0822475323223262
"AD Serpinb7 Glut",0.126344268284232,-14.9099172566997,36.835720556519,0.138068827582557,0.00254064005645065,0.310961261798967,0.790289286901765,0.00306601131207102
"ADP-MPO Trp73 Glut",0.162988401932877,-14.7382684089305,38.3397430372766,0.132935258550948,0.00182573041352613,0.351456074317535,0.790289286901765,0.00237344953758397
"AV Col27a1 Glut",0.174550023789333,-14.1060012004596,36.5671162281249,0.156066861762004,0.0018142016497474,0.313436171403643,0.790289286901765,0.00237344953758397
"DMH Hmx2-Vgll1 Glut",0.239417284799996,-16.7081334245088,36.8835201217362,0.14491807163305,0.000316552539495319,0.337628249327367,0.790289286901765,0.00176559055787529
"PF Fzd5 Glut",0.181978277007265,-12.9539140234555,36.9057283461442,0.19114035646785,0.00806789960577377,0.310710013223094,0.790289286901765,0.00904161162716026
"PH-LHA-MM Foxb1 Glut",0.26671269910709,-15.4321054695031,38.6462364725154,0.150539381201992,0.000920787353038367,0.353417117422121,0.790289286901765,0.00176559055787529
"PO-MEA Slc17a7 Glut",-0.140714555950333,-12.097458994049,48.9400597883576,0.211886742042703,0.0277419357018769,0.29478674945366,0.790289286901765,0.0290842874293871
"PV-PT Ntrk1-Sp9 Glut",-0.277538345002183,-15.5534448919375,49.0942002750859,0.219220128997381,0.000651500630604803,0.324968269719931,0.790289286901765,0.00176559055787529
"RE-Xi Nox4 Glut",0.495955436789317,-16.086277238373,28.557845621609,0.0901507229629963,0.000367497368776751,0.352669031920818,0.790289286901765,0.00176559055787529
"SCH Six6 Cdc14a Gaba",-0.68148853141083,-15.4066417506504,49.2354771748842,0.0825870077569732,0.00287684320173561,0.393948245388845,0.790289286901765,0.00339990560205117
"SI-MPO-LPO-ADP Lhx8 Gaba",-0.236407562125536,-15.6782428113467,45.0119606572832,0.222187744634775,0.000600255055512231,0.324567714633285,0.790289286901765,0.00176559055787529
"TH Prkcd Grin2c Glut_2",0.297527182448518,-16.2019858119132,32.0943013649256,0.186246918632407,0.000523779170532682,0.346822920446118,0.790289286901765,0.00176559055787529
"TH Prkcd Grin2c Glut_4",0.288450920488414,-14.9931536538154,30.1252613194519,0.206756689833163,0.00100502847140594,0.32672113126021,0.790289286901765,0.00176559055787529
