"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","r_squared","adjusted_p_values_activated","adjusted_p_values_sex"
"TH-PVT-RE Ntrk1-Nox4 Glut",-87.3096440214309,-316.751008994672,15800.4422931914,0.0228662503478871,0.80464895170834,0.422629517027631,0.487813340754926,0.80464895170834
"Trh Glut",-210.491984596071,-2716.41085527208,19184.3875334508,0.0156263352266363,0.0135053252637814,0.446848116067916,0.487813340754926,0.118456681148339
"VMH Nr5a1 Glut_2",-209.052740115274,-3477.83008533182,18377.5964965312,0.0183924568823953,0.00518061070915751,0.436570237523762,0.487813340754926,0.118456681148339
"ARC Mixed Glut",-66.0809922145537,-2591.97542640309,17730.7024997018,0.144492952540323,0.0446316855395448,0.281533911554765,0.859961142040035,0.118456681148339
"DMH Gaba",-122.704361944847,-2720.89157132143,15220.3402443688,0.37218906295381,0.0419048605817143,0.234311582786396,0.859961142040035,0.118456681148339
"DMH Hmx2-Vgll1 Glut",61.6868731864067,-2480.47640545339,12171.4807158367,0.183709406137418,0.0400485288099064,0.280764087148684,0.859961142040035,0.118456681148339
"GPe-SI Sox6 Cyp26b1 Gaba",-82.3017631124336,-2645.87795834789,15454.0473623304,0.193495931622287,0.0331578872744493,0.277206684411796,0.859961142040035,0.118456681148339
"GPi Tbr1 Cngb3 Gaba-Glut",-37.967233305641,-2489.14701080978,14555.7849322758,0.291183198518505,0.044197256455221,0.249837756646029,0.859961142040035,0.118456681148339
"LH-MH Glut",-21.2135490336533,-2165.82049291616,14409.3537374385,0.265257227590118,0.092803686111941,0.273235116479146,0.859961142040035,0.123738248149255
"Lhx6-Lhx8 Gaba",-105.242832534182,-1859.00571961542,14575.6056622425,0.309738969863809,0.140704332547268,0.245844972997575,0.859961142040035,0.157983811982897
"Mixed",-118.175152556687,-1760.07868922785,15862.4106554893,0.364160433535185,0.184134846619404,0.235650612515932,0.859961142040035,0.196410503060697
"PF Fzd5 Glut",41.5547345333019,-1812.35797445867,12068.8213154346,0.219149691732512,0.16595173705075,0.306336861875675,0.859961142040035,0.180015443580474
"PH-LHA-PVH-SO-PVa Nxph4 Glut",-141.235000037854,-2644.63875642131,16977.0978596797,0.355427921733106,0.0417103359059374,0.237151411045592,0.859961142040035,0.118456681148339
"Pitx2 Glut",-63.3573423464449,-2703.16119032078,15658.8742476149,0.103828362057809,0.0324541735699886,0.330789087879869,0.859961142040035,0.118456681148339
"PO-CEA-BST Meis2 Gaba",-102.174000354878,-2344.25218710103,15669.7682208563,0.310681145604084,0.054351699059779,0.245649982230827,0.859961142040035,0.118456681148339
"PO-MEA Glut",-65.1191186486509,-1820.90686260032,14733.669590893,0.230877507241667,0.14059538939126,0.265213441176599,0.859961142040035,0.157983811982897
"PVH-SO-PVa Avp Glut",88.0972922953595,-2703.34427256997,12523.2732312805,0.131831277986967,0.027505005291444,0.303722470762943,0.859961142040035,0.118456681148339
"RE-Xi Nox4 Glut",-143.696308698514,-2034.19865439504,17493.855197246,0.0808639479132079,0.0743373872665186,0.337702972232298,0.859961142040035,0.118456681148339
"RT-ZI Gnb3 Gaba_1",-56.0698607261544,-2688.70820568856,14373.7832539839,0.389669892486891,0.0433324170778046,0.231524021657616,0.859961142040035,0.118456681148339
"SCsg Gabrr2 Gaba",46.7407605660677,-1843.41061035141,12942.0590961997,0.198263920615541,0.202421068555889,0.320168328233904,0.859961142040035,0.211346113105452
"SI-MA-LPO-LHA Skor1 Glut",-98.1261901128146,-2427.08503847606,15961.6149963321,0.309614582446168,0.0483361998057836,0.245870769832408,0.859961142040035,0.118456681148339
"STR D1 Gaba",-123.090411194341,-2040.72495165744,15489.7261011572,0.38551232578384,0.100567089699953,0.232171642902708,0.859961142040035,0.129638558645162
"TH Prkcd Grin2c Glut_1",-37.0522223722275,-2720.87089838602,15516.5063709236,0.324059101199208,0.0432512681278383,0.254498557490865,0.859961142040035,0.118456681148339
"TH Prkcd Grin2c Glut_2",-45.1453000924554,-2286.04322798266,15114.607998098,0.372327007603468,0.0613861068927224,0.234288908278547,0.859961142040035,0.118456681148339
"TH Prkcd Grin2c Glut_3",-60.6165906702875,-2486.46367580264,15997.2322571443,0.317325626421955,0.0452930167514321,0.244295015464392,0.859961142040035,0.118456681148339
"TH Prkcd Grin2c Glut_7",-76.3557122675488,-2108.9743301677,17097.7219137137,0.315781941193566,0.0832898539324258,0.244606697199252,0.859961142040035,0.118456681148339
"TH Sema5b-Ntrk Glut",-107.887237528079,-2455.68739119131,17625.9698569164,0.255118735207714,0.0446565626185124,0.258534414574968,0.859961142040035,0.118456681148339
