"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","adjusted_p_values_activated","adjusted_p_values_sex"
"TH-PVT-RE Ntrk1-Nox4 Glut",-75.3672595238635,168.733640767375,14548.0517415862,0.00269536751844433,0.828879716708319,0.172503521180437,0.828879716708319
"ADP-MPO Trp73 Glut",32.4409008583525,-1110.83371167961,11651.536793261,0.0946380418546923,0.194682561614942,0.865262096957187,0.253776704099185
"AHN-PVHd-PVR Mixed Gaba",258.981797471262,-1043.92707033629,10139.9227729652,0.0827747808323491,0.198263050077488,0.865262096957187,0.253776704099185
"DMH Hmx2-Vgll1 Glut",58.2567226208385,-1520.53408709243,11106.1988121409,0.0823350150934511,0.0641038100113265,0.865262096957187,0.229698495210862
"PF Fzd5 Glut",44.3727623478869,-612.07842201006,10856.6910749385,0.0498285409529103,0.44312986465699,0.865262096957187,0.464923136689301
"SCsg Gabrr2 Gaba",38.7705857361061,-1728.32017416496,11844.0213582623,0.0872946776747712,0.0643130709269104,0.865262096957187,0.229698495210862
"Trh Glut",-128.625207145711,-1642.6818369382,15906.5086604599,0.0513359011568501,0.0446185336604135,0.865262096957187,0.229698495210862
"STR D1 Gaba",-149.025436561518,-1003.88696459113,14710.3571055191,0.139847640559655,0.233352955041688,0.879229401118359,0.281784700427699
"TH Prkcd Grin2c Glut_1",-39.5640299261277,-1739.17629359517,14441.1549786219,0.145363350627471,0.0580567752394968,0.879229401118359,0.229698495210862
"VMH Nr5a1 Glut_2",-98.048410987481,-1860.97794534123,14655.4232840585,0.149901798199083,0.0439325907719998,0.879229401118359,0.229698495210862
"ZI-PVH-SBPV Pax6-Prox1 Gaba",-106.398115637768,-1245.29146958967,13676.7573295549,0.151117553317218,0.132163904463633,0.879229401118359,0.229698495210862
"GPi Tbr1 Cngb3 Gaba-Glut",-36.0504916453917,-1536.30344658329,13369.4193048008,0.168232909377331,0.0715158324405412,0.897242183345766,0.229698495210862
"AD Serpinb7 Glut",14.7705551453129,-1661.78362074845,11877.2792374327,0.33042250122827,0.0674564365062169,0.959555353027799,0.229698495210862
"ARC Mixed Glut",-17.6515259956973,-1276.82770441713,13408.7254869501,0.577553574499204,0.162196509992914,0.959555353027799,0.233309346900909
"AV Col27a1 Glut",-14.0753589225416,-1200.34885638626,12574.5005913005,0.611620143684549,0.179928810237157,0.959555353027799,0.250335735982132
"Chat GABA",-20.479824358738,-1428.33146671672,13406.0490800457,0.370173203178449,0.0994982822435213,0.959555353027799,0.229698495210862
"GPe-SI Sox6 Cyp26b1 Gaba",-16.1565148872908,-1401.35568163424,12804.0571817201,0.728309538331407,0.116085809373703,0.959555353027799,0.229698495210862
"HY NSCs_1",29.7532572770433,-268.67056879339,9355.87234648257,0.381531780079436,0.827541069903149,0.959555353027799,0.828879716708319
