"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Din","PropMean.Simona","PropRatio","Tstatistic","P.Value","FDR"
"PVN Mixed Glut","PVN Mixed Glut",0.00263080518113867,0.00239379614488968,0.00326296857206534,0.733625253207541,-1.63000605106341,0.118590672469831,0.942520080470923
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0164657453690091,0.0144092868316042,0.0226670478624204,0.635693140062287,-1.42542772640865,0.169100421425528,0.942520080470923
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00346647270926508,0.00277595956383823,0.00514230850741341,0.539827503510587,-1.42120438369074,0.170507533701313,0.942520080470923
"TH Prkcd Grin2c Glut_7","TH Prkcd Grin2c Glut_7",0.0379454959067766,0.031866186561926,0.0444543217820653,0.716829889299586,-1.41936127724095,0.170838837316088,0.942520080470923
"SI-MPO-LPO-ADP Lhx8 Gaba","SI-MPO-LPO-ADP Lhx8 Gaba",0.00745910645475789,0.00708429030828496,0.0101413714990766,0.698553475625067,-1.36111535383302,0.188393594598204,0.942520080470923
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.0321731998328665,0.0300121240844149,0.0379459281880872,0.790918170077521,-1.29391940870992,0.210098554746728,0.942520080470923
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00577229607391015,0.00624129942874674,0.00438058511552683,1.4247638760915,1.29266450034953,0.21052422426169,0.942520080470923
"PF Fzd5 Glut","PF Fzd5 Glut",0.0149955895324904,0.0147523223937805,0.0103733020437937,1.42214333791686,1.26658105923854,0.219711425629066,0.942520080470923
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0189417973041985,0.0176124780095754,0.0222938454159,0.790015256722562,-1.25869455414113,0.222303173085011,0.942520080470923
"TH Prkcd Grin2c Glut_1","TH Prkcd Grin2c Glut_1",0.00194989089896161,0.00169297375270428,0.00218450704308857,0.77499120822731,-1.23879279740731,0.229435995650383,0.942520080470923
"Chat GABA","Chat GABA",0.00391525712251815,0.00364864365540772,0.00520080563579719,0.701553549760458,-1.23063010805936,0.232423088193505,0.942520080470923
"PO-COAa-PAA-MEA Barhl2 Glut","PO-COAa-PAA-MEA Barhl2 Glut",0.0106160726721243,0.0101617211062181,0.012081502736321,0.841097446898609,-1.22591688803691,0.234154574177665,0.942520080470923
"ZI Pax6 Gaba","ZI Pax6 Gaba",0.0185549141893251,0.0200620750968123,0.0151291333272227,1.32605580656186,1.19912009439553,0.244174587656109,0.942520080470923
"AD Serpinb7 Glut","AD Serpinb7 Glut",0.00194989089896161,0.00171359468538906,0.00249198143057781,0.687643440822803,-1.179827676634,0.251687891721921,0.942520080470923
"PO-MEA Glut","PO-MEA Glut",0.014159922004364,0.0127617717689609,0.0152484656864942,0.836921696342485,-1.09995767118384,0.284115029264485,0.942520080470923
"ZI Mixed Gaba","ZI Mixed Gaba",0.0397561088843838,0.0416402151896722,0.0312416070036667,1.33284485605318,1.0568839887024,0.302875138154695,0.942520080470923
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0304090128290441,0.0315785171014431,0.0229026903425367,1.37881255997218,1.05589753553095,0.303314920369912,0.942520080470923
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0161252882279206,0.0183217169537197,0.0090302267872012,2.02893209500426,1.05436056991097,0.304162775349989,0.942520080470923
"TH-PVT-RE Ntrk1-Nox4 Glut","TH-PVT-RE Ntrk1-Nox4 Glut",0.00337362076169548,0.00381250731224698,0.00301724032933187,1.26357429177384,1.02449730705729,0.317552483209138,0.942520080470923
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0426654699082313,0.0412418979657928,0.0494800733654826,0.833505190284606,-0.924926358847395,0.365777276812309,0.942520080470923
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0242343583156657,0.0232576764789672,0.0286916570253834,0.810607643134421,-0.883839857197888,0.38704296651569,0.942520080470923
"DMH Gaba","DMH Gaba",0.0296971478976772,0.0315249693402987,0.0265011219451332,1.18957112101015,0.878654801542849,0.38978323405559,0.942520080470923
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.0106160726721243,0.0126088914102816,0.00578562946917316,2.17934651319514,0.841182482284168,0.410090496372874,0.942520080470923
"TH Prkcd Grin2c Glut_5","TH Prkcd Grin2c Glut_5",0.00194989089896161,0.00175391812045346,0.0020670846452713,0.848498451413566,-0.800207442244734,0.432777294382577,0.942520080470923
"PO-CEA-BST Meis2 Gaba","PO-CEA-BST Meis2 Gaba",0.0298209504944366,0.0305552072673932,0.0319825512592192,0.955371165350215,-0.776491320940592,0.446336645760312,0.942520080470923
"Pitx2 Glut","Pitx2 Glut",0.0123493090267568,0.0127375318051317,0.00842408920298362,1.51203667223993,0.773871930497035,0.447966772590389,0.942520080470923
"LHA Pmch Glut","LHA Pmch Glut",0.00176418700382241,0.00179529288131646,0.00158071826725427,1.13574500814425,0.747522675024243,0.46324718074389,0.942520080470923
"RE-Xi Nox4 Glut","RE-Xi Nox4 Glut",0.0178739999071481,0.0184597155069588,0.0165783952750872,1.11348023742073,0.719635446903028,0.479883602990324,0.942520080470923
"Lhx6 Gaba","Lhx6 Gaba",0.00451879478172055,0.00448654827134317,0.00450186430422935,0.996597846613949,-0.685194138753999,0.50090550463616,0.942520080470923
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.0109410544886179,0.0110073252606769,0.0141062196500455,0.780317160355674,-0.624675279814555,0.539170737444897,0.942520080470923
"Hist Gaba","Hist Gaba",0.00280103375168294,0.00276181259878563,0.00207204513713488,1.33289210224664,0.608340964526067,0.549739231540618,0.942520080470923
