"","BaselineProp.clusters","BaselineProp.Freq","PropMean.F","PropMean.M","PropRatio","Tstatistic","P.Value","FDR"
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0304090128290441,0.0407775377924763,0.0145712523273942,2.79849232421938,3.77891440425563,0.00113245877464659,0.0272633210252472
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.0321731998328665,0.0241194849318499,0.043045186930285,0.560329427095141,-3.63274599019234,0.00159807710840456,0.0272633210252472
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0164657453690091,0.0111441147136749,0.025106443877268,0.44387467887338,-3.45098397064307,0.00244702460497902,0.0272633210252472
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00577229607391015,0.00727809092840828,0.00352986504718728,2.06186095817111,3.3798359455761,0.00288865643531536,0.0272633210252472
"DMH Gaba","DMH Gaba",0.0296971478976772,0.036553585368337,0.0219748906566115,1.66342513096143,3.37708223889888,0.00290723359881247,0.0272633210252472
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0426654699082313,0.0324280424604143,0.0574701113308921,0.564259259455849,-3.33272881312791,0.00322306230467514,0.0272633210252472
"Chat GABA","Chat GABA",0.00391525712251815,0.00272786902552829,0.00596636406763767,0.45720794014643,-3.30498213167826,0.00343743782329098,0.0272633210252472
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0189417973041985,0.0144769971749143,0.0249611895099286,0.579980259721035,-3.29742408495704,0.00349820573989843,0.0272633210252472
"ZI Mixed Gaba","ZI Mixed Gaba",0.0397561088843838,0.0506650009600819,0.0232566820518576,2.17851372122255,3.26370465277674,0.00378232858262894,0.0272633210252472
"PF Fzd5 Glut","PF Fzd5 Glut",0.0149955895324904,0.0210084067544395,0.00455511971813328,4.6120427243236,3.20406626908386,0.00439813774236847,0.0272633210252472
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0161252882279206,0.0249489231952,0.0033321695623727,7.48729100611402,3.18318443533078,0.00461379278888799,0.0272633210252472
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.0109410544886179,0.00763751811917683,0.0171661373526088,0.444917686623086,-3.02176936099929,0.00664995462764261,0.0360205875663975
