"","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","37","38","39","4","40","41","42","43","44","45","46","47","48","49","5","50","51","52","53","54","55","56","57","58","59","6","60","61","62","63","64","65","66","67","68","69","7","70","71","72","73","74","75","8","9"
"01 IT-ET Glut",56,2,6,1,7,7,0,2,47,0,1,1,4,0,11,1,0,53,58,2,0,2,1558,10,0,241,1,1462,1,3,0,0,0,0,111,19,2,9,0,0,9,0,0,0,0,2,0,4,1,0,0,1,0,0,0,1,7,0,353,0,1,0,266,1,0,4,1,5,0,0,0,0,0,0,0,0
"02 NP-CT-L6b Glut",8,0,4,2,0,1,1,1,6,0,0,0,2,1,3,1,0,4,17,0,0,1,4,3,0,5,1,9,0,0,0,0,0,0,14,1130,1,1,0,0,1,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"03 OB-CR Glut",7,0,1,0,0,3,13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04 DG-IMN Glut",2,0,0,1,0,1,0,0,8,0,0,0,1,0,0,0,0,6,4,0,0,0,181,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05 OB-IMN GABA",32,0,9,0,1,8,1,1,11,0,1,0,3,2,49,7,0,7,12,1,0,7,1,30,0,1,1,1,0,1,2,0,0,0,9,0,1,0,0,0,1,1,0,0,3,10,0,0,0,0,5,0,0,0,0,1,2,0,0,0,2,0,0,0,1,17,0,1,0,0,0,2,4,0,0,1
"06 CTX-CGE GABA",31,2,1,0,0,0,0,0,7,0,0,0,0,1,0,4,0,9,8,1,0,21,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,429,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"07 CTX-MGE GABA",17,0,2,0,1,0,0,1,11,0,1,2,1,0,1,532,0,15,9,2,0,2,0,6,0,0,1,0,1,1,0,0,0,0,10,0,1,0,0,0,8,0,0,2,1,1,1,0,59,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"08 CNU-MGE GABA",50,0,9,2,0,2,5,1,76,0,0,5,7,0,2,1305,0,59,41,1758,0,5,0,14,0,0,1,1,0,2,0,0,4,0,48,1,3,2,0,36,27,0,0,0,8,3,0,3,0,0,0,410,0,0,0,0,16,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09 CNU-LGE GABA",28,0,180,0,1,3113,0,2674,1164,0,0,0,0,1,2136,1,0,208,233,1,0,0,1,4,0,1,0,5,0,0,1,0,1,0,94,5,1,0,0,0,15,0,1,0,470,2,1,1,0,1,474,1,0,0,0,0,30,0,0,0,0,1,2,0,0,163,0,0,0,0,0,0,0,0,0,0
"10 LSX GABA",35,0,41,1,3,2,2,0,9,0,0,6,7,1,5,2,1,11,8,0,0,7,0,234,0,2,0,1,1,1,0,2,5,0,5,0,1,0,0,1,6,1,0,0,0,19,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"11 CNU-HYa GABA",990,1,2573,51,72,27,37,118,337,0,2,282,316,52,62,345,4,227,286,75,0,217,4,991,0,94,13,10,1,8,4,481,60,0,143,14,10,16,0,760,111,7,13,1,136,217,9,6,6,6,5,16,2,2,0,2,3407,4,1,1,9,0,1,0,5,6,2,21,0,0,5,1,0,0,0,3
"12 HY GABA",1972,4,340,192,89,6,68,8,259,0,18,1981,2691,2185,30,64,26,519,454,26,1,1452,15,2587,0,24,33,19,6,8,31,761,1148,1,391,20,967,6,0,60,183,49,8,4,4,2864,592,14,1,1,2,17,6,411,1,6,156,349,3,9,25,9,2,2,1,7,2,73,0,1,9,61,0,1,0,3598
"13 CNU-HYa Glut",495,0,58,489,51,5,2183,8,100,0,5,10,63,10,19,4,8,124,90,8,0,9,3,114,0,1030,31,7,3,9,8,5,6,0,107,9,6,1012,0,2,42,8,3,1,1,37,2,2,1,488,0,2,3,3,0,1,29,0,2,310,7,0,1,1,234,3,0,95,1,1,3,0,0,0,1,0
"14 HY Glut",759,2,53,2076,2966,1,165,0,58,0,3,12,149,8,10,2,8,210,230,6,0,18,16,192,0,64,1173,3,3,28,710,45,40,0,131,5,9,20,1,8,81,688,689,687,1,748,4,3,0,1,0,2,16,0,1,350,29,11,0,2,271,1,0,0,3,4,1,2091,0,2,179,0,0,0,0,1
"15 HY Gnrh1 Glut",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
