"sample","genotype","sex","Coded_ID","mean_nCount_RNA","mean_nFeature_RNA","mean_percent_mito","mean_percent_ribo","total_nuclei","Ever_Learner","Avg_Test_Distance","Avg_Total_Rewards","Sac_Test_Distance","Sac_Total_Rewards","organism","sequencing_platform","library_protocol","tissue","brain_region"
"Het_F_1","Het","F",1.2,3657.10093519065,1775.05386875612,0.00360815092600954,5.55068586946785e-05,2042,1,13157.965,58,13509.04,71,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_F_2","Het","F",1.3,3155.49984804994,1623.503052227,0.0034649899909922,2.56479321484428e-05,4423,1,14427.998,31.4,17111.86,32,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_F_3","Het","F",2.2,3689.81016767344,1776.22195013357,0.00367778317091377,2.35049713246636e-05,4492,1,12628.67429,52.28571429,13586.49,60,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_F_4","Het","F",2.3,3126.36312498373,1598.67930868939,0.0046063290934287,2.75167908735689e-05,4166,1,13070.45,60.5,12952.18,79,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_F_5","Het","F",3.1,3121.57578236683,1576.53617886179,0.00561052582002508,4.87535096724376e-05,2460,1,12114.24,31.11111111,13350.29,53,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_F_6","Het","F",10.2,2783.80606331249,1492.58230383973,0.0051220378945838,4.01352284370126e-05,2995,0,20101.482,22.5,23033.27,17,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_1","Het","M",6.1,2563.88035502165,1420.89229119504,0.00400312123222077,1.40313651911289e-05,8393,1,12271.47627,24.09090909,11261.79,24,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_10","Het","M",12.3,2797.3461065202,1481.74019933555,0.0027028004828933,3.79915788457495e-05,3010,0,14372.48089,15.6,15279.46,24,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_2","Het","M",6.2,3141.72513751199,1610.27068775285,0.00337583507948301,4.18258774728141e-05,2719,1,13857.63771,35.14285714,12730.4,65,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_3","Het","M",6.3,3189.61813256181,1632.66849699911,0.00326770146497182,1.41455443641953e-05,7831,1,14419.729,31.8,14604.23,49,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_4","Het","M",6.4,3484.33027055069,1692.15890985325,0.00312932163748262,4.81644365459902e-05,2385,0,14362.08333,19.1,14744.35,24,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_5","Het","M",7.1,3141.08439123299,1609.09777070064,0.0100111095889797,3.80220253003185e-05,3140,0,15828.08343,27.4,17105.2,23,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_6","Het","M",7.2,3328.07890973073,1699.58702830189,0.00284463381072007,2.71897482505279e-05,4240,1,14576.50333,27.66666667,12619.55,37,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_7","Het","M",7.3,2901.38968655931,1559.78794057676,0.00320689700665864,3.32411976377821e-05,3433,1,14947.72514,41.57142857,15846.2,38,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_8","Het","M",12.1,2892.57638189969,1514.06880733945,0.00362793353395702,5.6512785832931e-05,1962,1,14269.016,47,16098.86,45,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"Het_M_9","Het","M",12.2,2060.09426512209,1247.96377127892,0.00762415329875907,5.24977314188571e-05,2291,1,13781.71167,54.66666667,13448.63,75,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"WT_F_1","WT","F",2.1,3151.8032078736,1623.27231695085,0.00225441868996036,2.79197555375128e-05,3988,1,12919.55556,64.4,13896.1,80,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"WT_F_10","WT","F",10.3,3746.14181774611,1818.13920379647,0.00284842889030924,2.91491410281765e-05,3793,1,13142.612,51.2,14797,75,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"WT_F_2","WT","F",3.2,2917.81264482565,1547.6304518151,0.00261009510781341,2.97407984375824e-05,3829,1,13738.99,39.66666667,14700.94,69,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"WT_F_3","WT","F",3.3,3739.27445315303,1802.66610576923,0.00327424421499582,2.63757867204327e-05,4160,1,14397.65333,57.33333333,13475.32,84,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"WT_F_4","WT","F",4.1,2528.58289217309,1371.64670138889,0.00486526657370473,4.66591854830033e-05,2304,1,12394.14333,45,12868.81,52,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"WT_F_5","WT","F",4.2,3246.55539813387,1629.32365591398,0.00802741087817937,4.09110133695602e-05,2790,1,10499.7256,30.6,11095.3,53,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
"WT_F_6","WT","F",4.3,2457.17648272694,1370.47259696459,0.00435549985118535,5.11789349832928e-05,2372,1,11919.47889,35.33333333,12573.55,63,"Mus musculus","Illumina NovaSeq X Plus","ScaleBio Single Cell RNA Sequencing Kit","Brain","tuberal hypothalamus and thalamus"
