"","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","37","38","39","4","40","41","42","43","44","45","46","47","48","49","5","50","51","52","53","54","55","56","57","58","59","6","60","61","62","63","64","65","66","67","68","69","7","70","71","72","73","74","75","76","77","78","79","8","80","81","82","9"
"01 IT-ET Glut",47,9,0,2,0,4,1,1,1,2,7,8,4,0,1,1,75,1862,1,3,0,1,1599,109,1,3,1,0,40,1,1,0,0,29,5,2,0,1,59,25,1,6,21,0,0,0,0,1,4,0,0,2,2,0,0,0,6,0,0,0,0,1,1,0,0,0,2,18,0,355,1,4,0,0,0,0,1,0,0,0,0,0,8
"02 NP-CT-L6b Glut",6,3,1,1,0,1,0,1,0,0,0,3,1,0,0,0,9,9,0,2,0,0,5,19,1,1,1,0,1,0,0,0,1,2,0,0,0,0,2,1139,1,0,3,0,0,0,1,1,0,2,0,1,3,0,0,0,4,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"03 OB-CR Glut",7,1,0,0,0,12,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"04 DG-IMN Glut",2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,185,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"05 OB-IMN GABA",32,24,0,1,1,1,0,1,3,1,1,48,12,0,1,0,3,1,1,2,2,0,1,12,6,8,2,0,10,0,1,0,0,5,9,0,1,1,0,1,1,0,8,0,0,0,1,0,4,1,1,0,3,3,0,0,16,0,0,1,0,0,1,0,1,0,0,9,0,0,2,16,0,0,0,0,0,0,0,2,0,0,0
"06 CTX-CGE GABA",20,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,7,1,1,0,0,0,1,3,22,19,0,1,7,0,0,0,2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,421,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07 CTX-MGE GABA",19,7,1,0,0,0,2,2,1,0,1,1,1,0,0,0,13,0,0,0,0,2,0,11,580,2,0,0,8,0,7,0,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,1,10,2,0,1,1,0,3,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"08 CNU-MGE GABA",43,14,0,3,0,5,0,1811,4,1,0,3,7,0,0,0,97,1,1,4,0,1,0,41,1105,5,2,0,34,0,24,0,0,46,10,0,0,0,0,3,3,0,1,0,0,0,0,1,23,0,1,1,8,0,187,0,1,0,0,7,0,410,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09 CNU-LGE GABA",29,5,0,0,0,0,0,1,0,2661,1,2144,2,0,0,0,464,2,0,2,0,0,1,41,1,0,73,0,228,0,1,0,0,32,1,0,1,0,1,6,2,3,838,0,0,0,0,1,15,0,0,5,26,1,1,1,3688,1,0,467,0,1,0,0,0,0,1,132,0,0,0,171,0,0,0,0,0,0,0,1,0,0,1
