"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Plp1",0,1.43503916966058,0.825,0.181,0,"0","Plp1"
"Prr5l",0,1.28435244729974,0.649,0.117,0,"0","Prr5l"
"St18",0,1.25768272973224,0.801,0.173,0,"0","St18"
"Plcl1",0,1.1727516664673,0.923,0.453,0,"0","Plcl1"
"Mbp",0,1.13667499713096,0.736,0.187,0,"0","Mbp"
"Mobp",0,1.09395992585402,0.591,0.108,0,"0","Mobp"
"Enpp2",0,1.09124951349207,0.654,0.167,0,"0","Enpp2"
"D7Ertd443e",0,0.994650609065685,0.416,0.087,0,"0","D7Ertd443e"
"Gm16168",0,0.992482307396651,0.435,0.089,0,"0","Gm16168"
"St6galnac3",0,0.971702256433342,0.728,0.335,0,"0","St6galnac3"
"Adipor2",0,0.9676246336391,0.497,0.166,0,"0","Adipor2"
"Neat1",0,0.966886175189915,0.401,0.079,0,"0","Neat1"
"Trf",0,0.954935107388944,0.376,0.071,0,"0","Trf"
"Ctnna3",0,0.925989729457839,0.621,0.279,0,"0","Ctnna3"
"Mag",0,0.923510430346869,0.38,0.072,0,"0","Mag"
"Pde4b",0,0.886098221847313,0.98,0.727,0,"0","Pde4b"
"Dock10",0,0.87528408708188,0.824,0.456,0,"0","Dock10"
"Map7",0,0.867486898157543,0.73,0.381,0,"0","Map7"
"Zfp536",0,0.86599824293123,0.659,0.259,0,"0","Zfp536"
"Scd2",0,0.839658077045374,0.497,0.203,0,"0","Scd2"
"Aspa",0,0.823980396382606,0.303,0.057,0,"0","Aspa"
"Qk",0,0.822309099681569,0.878,0.414,0,"0","Qk"
"Phlpp1",0,0.81556312033313,0.794,0.479,0,"0","Phlpp1"
"Tspan2",0,0.81121232532009,0.383,0.102,0,"0","Tspan2"
"Cdk19",0,0.795036128616251,0.498,0.194,0,"0","Cdk19"
"Mog",0,0.792827628970393,0.326,0.061,0,"0","Mog"
"Sec14l5",0,0.776655969961029,0.296,0.057,0,"0","Sec14l5"
"Sept7",0,0.77227746129078,0.704,0.402,0,"0","Sept7"
"Zeb2",0,0.768284390202167,0.626,0.217,0,"0","Zeb2"
"Cldn11",0,0.766741464797236,0.267,0.054,0,"0","Cldn11"
"Pde8a",0,0.753195842628488,0.301,0.071,0,"0","Pde8a"
"Slc24a2",0,0.731581170248344,0.938,0.67,0,"0","Slc24a2"
"Ugt8a",0,0.723229044586328,0.351,0.091,0,"0","Ugt8a"
"Daam2",0,0.717680664700095,0.297,0.067,0,"0","Daam2"
"Slc12a2",0,0.717622622394674,0.512,0.226,0,"0","Slc12a2"
"Arhgap23",0,0.714753785918775,0.433,0.18,0,"0","Arhgap23"
"Pex5l",0,0.705695939715601,0.799,0.517,0,"0","Pex5l"
"Ppp1r16b",0,0.703296772590179,0.38,0.142,0,"0","Ppp1r16b"
"Phldb1",0,0.698683653902255,0.379,0.126,0,"0","Phldb1"
"Tmeff2",0,0.69572831710733,0.939,0.689,0,"0","Tmeff2"
"Edil3",0,0.688708902871354,0.908,0.653,0,"0","Edil3"
"Ptprk",0,0.685475346473551,0.634,0.317,0,"0","Ptprk"
"Erbin",0,0.676987526817418,0.547,0.296,0,"0","Erbin"
"Pstpip2",0,0.672363854924998,0.286,0.073,0,"0","Pstpip2"
"Fnbp1",0,0.671650081936407,0.709,0.462,0,"0","Fnbp1"
"Plekhh1",0,0.668112952419977,0.28,0.067,0,"0","Plekhh1"
"Gatm",0,0.662005224582147,0.275,0.062,0,"0","Gatm"
"Fa2h",0,0.661920963425416,0.27,0.062,0,"0","Fa2h"
"Kif13b",0,0.650123528209257,0.463,0.228,0,"0","Kif13b"
"Cdh19",0,0.631889231856604,0.318,0.079,0,"0","Cdh19"
"Gab1",0,0.630959181376663,0.339,0.1,0,"0","Gab1"
"Tbc1d5",0,0.622171854320439,0.689,0.452,0,"0","Tbc1d5"
"Cdh20",0,0.610577936316999,0.496,0.208,0,"0","Cdh20"
"Nkain2",0,0.60021637523295,0.994,0.887,0,"0","Nkain2"
"Grm3",0,0.599255886090344,0.637,0.305,0,"0","Grm3"
"Pak7",0,0.567748524868217,0.687,0.456,0,"0","Pak7"
"Sept4",0,0.561789233573208,0.273,0.106,0,"0","Sept4"
"Frmd5",0,0.545305167828588,0.899,0.737,0,"0","Frmd5"
"Cdc37l1",0,0.544694258670018,0.437,0.228,0,"0","Cdc37l1"
"Dscaml1",0,0.536554309239989,0.658,0.383,0,"0","Dscaml1"
"Usp54",0,0.529707860854684,0.367,0.174,0,"0","Usp54"
"Klhl2",0,0.529562765083407,0.464,0.249,0,"0","Klhl2"
"Mast4",0,0.522507154799861,0.859,0.612,0,"0","Mast4"
"Celf2",0,-0.919715689155889,0.851,0.873,0,"0","Celf2"
"Zbtb16",4.58020720321031e-294,0.511382198973307,0.417,0.215,1.71583722246665e-289,"0","Zbtb16"
"Cntn2",1.37999299414062e-292,0.541044457241892,0.28,0.121,5.16972975464957e-288,"0","Cntn2"
"Ccp110",3.30653008819128e-292,0.517206337897993,0.278,0.12,1.23869230163822e-287,"0","Ccp110"
"Otud7b",2.52282036096835e-286,0.551247666948602,0.406,0.213,9.45098963625962e-282,"0","Otud7b"
"Pip4k2a",1.4233146098812e-285,0.506856598493635,0.392,0.2,5.33202119153695e-281,"0","Pip4k2a"
"Myo1d",1.74275430747372e-285,0.506926487405731,0.297,0.133,6.52870618665803e-281,"0","Myo1d"
"Vmp1",1.14108503246567e-282,0.536378130482541,0.452,0.253,4.27473274862291e-278,"0","Vmp1"
"Kctd3",1.88242978746635e-281,0.550072608202348,0.314,0.146,7.05195846980645e-277,"0","Kctd3"
"Frmd4b",6.25496671579356e-280,0.513579615857394,0.459,0.254,2.34323563107058e-275,"0","Frmd4b"
"Rbfox1",5.47865234573043e-269,-0.668402712293927,0.931,0.912,2.05241274175754e-264,"0","Rbfox1"
"Ppp2r3a",7.82078279933859e-266,0.51225118739061,0.472,0.269,2.92982165228822e-261,"0","Ppp2r3a"
"Lrrc7",9.3945390630544e-260,-0.801904300328373,0.853,0.851,3.51938222380144e-255,"0","Lrrc7"
"Sez6l2",1.25573962022756e-250,0.552624973843712,0.379,0.204,4.70425176529648e-246,"0","Sez6l2"
"Auts2",6.24817108066114e-246,-0.612609054139878,0.824,0.847,2.34068985023728e-241,"0","Auts2"
"Kcnma1",5.28984769919976e-227,-0.626745068567135,0.799,0.824,1.98168274507421e-222,"0","Kcnma1"
"Tmod2",1.21943069718699e-224,0.502880740444809,0.477,0.294,4.56823127780189e-220,"0","Tmod2"
"Ppp1cc",1.45063586411561e-218,0.542691317046097,0.287,0.144,5.4343720741499e-214,"0","Ppp1cc"
"Vav3",1.43899236448641e-210,-1.51072842704741,0.159,0.326,5.39075319583899e-206,"0","Vav3"
"Slc4a4",1.26025466869532e-209,-1.25497571843193,0.087,0.258,4.72116603986639e-205,"0","Slc4a4"
"Kcnd2",4.97669733289385e-206,-0.510192395683104,0.927,0.916,1.86437035484869e-201,"0","Kcnd2"
"Gabra4",6.30615708287662e-192,-0.961802009067435,0.174,0.338,2.36241256638724e-187,"0","Gabra4"
"Cacna1c",2.48343671340288e-188,-0.616776571548075,0.791,0.81,9.30345061574986e-184,"0","Cacna1c"
"Pakap",8.38904380139015e-188,0.516804483677525,0.63,0.474,3.14270358887678e-183,"0","Pakap"
"Nell2",1.04804896956113e-176,-0.754232262630526,0.357,0.497,3.92620104976991e-172,"0","Nell2"
"Rora",5.73428306063756e-168,-0.57743730433811,0.842,0.856,2.14817712017604e-163,"0","Rora"
"Rgs7bp",2.28095330158963e-149,-0.683414534434136,0.367,0.497,8.54490725841509e-145,"0","Rgs7bp"
"Pcsk2",1.63849733657662e-145,-0.705662624166849,0.457,0.563,6.13813872228334e-141,"0","Pcsk2"
"Tcf7l2",1.98656124799478e-142,-0.885376236085946,0.122,0.258,7.44205574723805e-138,"0","Tcf7l2"
"Cit",1.06951545918031e-140,-0.791782309680596,0.321,0.442,4.00661881318127e-136,"0","Cit"
"Kalrn",1.87250650667477e-133,-0.515002097038427,0.754,0.774,7.01478387530504e-129,"0","Kalrn"
"Kcnip4",1.54110653552363e-130,-0.891977762689985,0.894,0.868,5.77329330337862e-126,"0","Kcnip4"
"Atp2b1",2.05330775380145e-130,-0.757919049835018,0.514,0.592,7.69210150729099e-126,"0","Atp2b1"
"Pde7b",9.51363480107329e-130,-0.856984367671219,0.336,0.455,3.56399786917808e-125,"0","Pde7b"
"Ptpn4",3.39407816691917e-129,-0.900819124300646,0.383,0.482,1.27148956289126e-124,"0","Ptpn4"
"Atrnl1",3.14477333717127e-128,-0.606296991883555,0.489,0.585,1.1780949875711e-123,"0","Atrnl1"
"Hdac9",2.04802990115721e-124,-0.830063209715889,0.6,0.651,7.67232961571515e-120,"0","Hdac9"
"Nin",2.92032760235628e-124,-0.621814188671917,0.22,0.353,1.09401312639471e-119,"0","Nin"
"Slit3",8.4673067798841e-122,-0.743358316714544,0.274,0.402,3.17202246588018e-117,"0","Slit3"
"Frmpd4",8.17087563730411e-118,-0.52509630198915,0.638,0.703,3.06097343124686e-113,"0","Frmpd4"
"Cacnb4",1.15548947252339e-115,-0.563142101977037,0.507,0.586,4.32869466196713e-111,"0","Cacnb4"
"Arpp21",7.22547038232282e-115,-0.567332923256335,0.467,0.573,2.70680571462577e-110,"0","Arpp21"
"Grin2a",4.50639223114318e-109,-0.618816077997597,0.536,0.613,1.68818465763086e-104,"0","Grin2a"
"Pde10a",1.28595470348783e-105,-0.601786709540268,0.674,0.723,4.81744351020611e-101,"0","Pde10a"
"Itpr1",3.4746085859261e-101,-0.6272840810406,0.259,0.375,1.30165786845964e-96,"0","Itpr1"
"Pitpnc1",9.42482435716361e-101,-0.757043835452722,0.333,0.438,3.53072770068063e-96,"0","Pitpnc1"
"Adarb1",5.06736214389681e-100,-0.596835692549871,0.269,0.379,1.89833520634662e-95,"0","Adarb1"
"Slc1a2",5.211153548145e-98,-0.926022504342917,0.149,0.261,1.95220234220608e-93,"0","Slc1a2"
"Inpp4b",5.69420746618519e-97,-0.653266114908353,0.612,0.649,2.13316400098229e-92,"0","Inpp4b"
"Ryr3",3.77371794940354e-95,-0.633670466055778,0.529,0.596,1.41371021820555e-90,"0","Ryr3"
"Foxp2",6.05187186522659e-95,-0.708208402564545,0.214,0.337,2.26715223815119e-90,"0","Foxp2"
"Cacna2d3",9.13058365722844e-91,-0.590477063563881,0.521,0.605,3.42049924967092e-86,"0","Cacna2d3"
"Fras1",1.70224466132749e-90,-0.669611136153803,0.17,0.277,6.37694895026503e-86,"0","Fras1"
"Galnt17",8.3803608462784e-90,-0.532569282980444,0.442,0.527,3.13945078023281e-85,"0","Galnt17"
"Ntng1",1.51086751043457e-85,-1.31086689682864,0.427,0.475,5.66001186758998e-81,"0","Ntng1"
"Ildr2",9.48934508192611e-85,-0.595800612513082,0.207,0.308,3.55489845459116e-80,"0","Ildr2"
"Shc3",8.2357928709778e-83,-0.526090749024775,0.19,0.293,3.0852927253257e-78,"0","Shc3"
"Kcnab1",4.20893887118417e-82,-0.66032787358985,0.346,0.44,1.57675267992301e-77,"0","Kcnab1"
"Rorb",2.68377370847564e-79,-0.644493618933726,0.166,0.269,1.00539530666914e-74,"0","Rorb"
"Gm20754",2.30632216281359e-75,-0.614295217402261,0.309,0.408,8.63994408633229e-71,"0","Gm20754"
"Zmat4",3.30051713023092e-73,-0.669141003193543,0.399,0.47,1.23643972732711e-68,"0","Zmat4"
"Gabbr2",2.23045215396916e-69,-0.523706739307698,0.506,0.549,8.35571985919927e-65,"0","Gabbr2"
"Zfp804a",6.75127172755043e-68,-0.56633237626685,0.523,0.58,2.52916141457494e-63,"0","Zfp804a"
"Kcnc2",8.45222579847438e-68,-0.779536578707825,0.587,0.599,3.16637282862447e-63,"0","Kcnc2"
"Trps1",2.83194665605173e-67,-0.575587409587301,0.395,0.465,1.0609038562901e-62,"0","Trps1"
"Grm1",1.49445395976955e-65,-0.733770910565458,0.536,0.57,5.59852342408871e-61,"0","Grm1"
"Stox2",1.76150264605309e-59,-0.519340254117556,0.561,0.599,6.59894121264407e-55,"0","Stox2"
"Nxph1",3.51299826010436e-27,-0.521391719228447,0.473,0.5,1.3160394082003e-22,"0","Nxph1"
"Rgs6",5.4262263818224e-14,-0.536316174323057,0.296,0.323,2.03277292715831e-09,"0","Rgs6"
"Adarb2",5.12968843843209e-12,-0.535638885729009,0.468,0.473,1.92168388280543e-07,"0","Adarb2"
"Phactr1",1.12108229947187e-05,-0.709778329856021,0.783,0.665,0.419979851028151,"0","Phactr1"
"Nrxn3",0,0.792068128300097,0.947,0.886,0,"1","Nrxn3"
"Malat1",0,-0.502403209725353,0.998,1,0,"1","Malat1"
"Cadm2",0,-0.715027235616832,0.811,0.935,0,"1","Cadm2"
"Iqschfp",0,-0.75896924005209,0.281,0.58,0,"1","Iqschfp"
"Nkain2.1",0,-0.873368219331135,0.737,0.898,0,"1","Nkain2"
"Grin2a.1",0,-0.898510183743395,0.327,0.621,0,"1","Grin2a"
"Kcnq3",0,-0.903212221678821,0.434,0.747,0,"1","Kcnq3"
"Trps1.1",0,-0.939354938032199,0.181,0.473,0,"1","Trps1"
"Rbfox1.1",0,-1.0284746987441,0.843,0.915,0,"1","Rbfox1"
"Cacna2d1",0,-1.02960838000003,0.26,0.608,0,"1","Cacna2d1"
"Nell2.1",0,-1.05487776857558,0.169,0.504,0,"1","Nell2"
"Gm20754.1",0,-1.14406607587145,0.132,0.414,0,"1","Gm20754"
"Zfp804a.1",0,-1.19357047336489,0.247,0.591,0,"1","Zfp804a"
"Celf2.1",0,-1.24829240402854,0.671,0.88,0,"1","Celf2"
"Pde4b.1",0,-1.35877815795117,0.421,0.751,0,"1","Pde4b"
"Foxp2.1",0,-1.37160411179736,0.066,0.342,0,"1","Foxp2"
"Vav3.1",0,-1.63761240337401,0.079,0.328,0,"1","Vav3"
"Ntng1.1",0,-1.85572939965596,0.203,0.484,0,"1","Ntng1"
"Rnf220",0,-2.04676687971089,0.058,0.388,0,"1","Rnf220"
"Il1rapl1",7.14633762387834e-305,-0.535842899416216,0.829,0.942,2.6771610006573e-300,"1","Il1rapl1"
"Slc4a4.1",1.4337852802177e-303,-1.48538329981969,0.03,0.259,5.37124641675154e-299,"1","Slc4a4"
"Cadm1",3.80073075678492e-300,0.661210246460377,0.825,0.752,1.42382975610677e-295,"1","Cadm1"
"Rgs7bp.1",5.68698577653687e-300,-0.8121213279958,0.208,0.502,2.13045861160624e-295,"1","Rgs7bp"
"Itpr1.1",9.35448970703039e-300,-0.893239754215658,0.11,0.38,3.50437893404772e-295,"1","Itpr1"
"Plekhg1",1.2984967488902e-299,-1.60075405256509,0.032,0.257,4.86442852069248e-295,"1","Plekhg1"
"Tcf7l2.1",1.45296435596274e-299,-1.1996411809882,0.031,0.261,5.44309507030763e-295,"1","Tcf7l2"
"Auts2.1",4.10508262191941e-295,-0.670102754639571,0.679,0.853,1.53784605182345e-290,"1","Auts2"
"9530059O14Rik",5.03201850603389e-295,-0.831381425409287,0.11,0.382,1.88509477273042e-290,"1","9530059O14Rik"
"Arpp21.1",1.21042580773763e-278,-0.787039971653104,0.301,0.579,4.53449716094669e-274,"1","Arpp21"
