"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Learner","PropMean.Non_Learner","PropRatio","Tstatistic","P.Value","FDR"
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00632418680427926,0.00722937560092645,0.00276910239696987,2.61072888053447,4.03297758928115,0.000265864538079994,0.0127376325152341
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0185231258176098,0.0153469006132232,0.0270275920667357,0.567823451505746,-3.6822824048171,0.000736613191295791,0.0127376325152341
"ZI Mixed Gaba","ZI Mixed Gaba",0.039453936966798,0.0459532783589978,0.0212436962401901,2.16314890965446,3.63635419256321,0.000839812498555316,0.0127376325152341
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0296787345205897,0.0355384830238425,0.013841644787282,2.56750433709266,3.61292194964839,0.000897706886853955,0.0127376325152341
"PF Fzd5 Glut","PF Fzd5 Glut",0.0149115978202422,0.0190960512593216,0.00346200848712371,5.51588805467859,3.55159623188696,0.00107452360354131,0.0127376325152341
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0158505950995578,0.0125482858691067,0.0265731765082967,0.472216254055623,-3.51749108767974,0.00117578146294469,0.0127376325152341
"Chat GABA","Chat GABA",0.00390045023715701,0.00320213272915676,0.00633464382217126,0.505495307873395,-3.35089575425064,0.00187057756535262,0.0167464734692248
"Pitx2 Glut","Pitx2 Glut",0.0126082455196989,0.015607220752604,0.00427245418672562,3.65298726925971,3.25951912213963,0.00241495064692141,0.0167464734692248
"STN-PSTN Pitx2 Glut","STN-PSTN Pitx2 Glut",0.00586672659127936,0.00730367514334486,0.00171930050854375,4.2480503594634,3.24405093268288,0.00251877313361538,0.0167464734692248
"LHA Pmch Glut","LHA Pmch Glut",0.00166130287878909,0.00192263400606165,0.000954359883845663,2.01457965554278,3.22828935879825,0.00261704743822055,0.0167464734692248
"ARC Mixed Glut","ARC Mixed Glut",0.0125761430486112,0.00832382041852972,0.0248036783714515,0.335588145188589,-3.20054909824328,0.00283401858709958,0.0167464734692248
"Hist Gaba","Hist Gaba",0.00301763228224493,0.00380698619587465,0.000898242710495788,4.23826005086462,3.13278386629743,0.00340083214646786,0.0174384602029728
"SI-MPO-LPO-ADP Lhx8 Gaba","SI-MPO-LPO-ADP Lhx8 Gaba",0.00719897914141941,0.00608138953923732,0.0125179950567204,0.485811786287013,-3.12335998465666,0.00348769204059456,0.0174384602029728
"DMH Gaba","DMH Gaba",0.0329130584826767,0.036105501475139,0.0230992082220435,1.56306229755026,3.05402975573197,0.00417839624224909,0.0193996968390136
"TU-ARH Otp Six6 Gaba","TU-ARH Otp Six6 Gaba",0.0104252774857345,0.0116588401042127,0.00588675920515286,1.98051928028709,3.02479513012473,0.00451443213581403,0.0195625392551941
"HY NSCs_2","HY NSCs_2",0.00990361233055915,0.00673101303188584,0.0156356105564843,0.430492497083487,-2.88722375995626,0.00648712962542675,0.0244432940166924
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00408503944591135,0.00298106733443342,0.00792871129581484,0.375983841914761,-2.86949160643404,0.00679033629374296,0.0244432940166924
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.0109469426409098,0.00866925147493056,0.0189196833992215,0.458213348077868,-2.86222553690457,0.00691836933661419,0.0244432940166924
"HY NSCs_1","HY NSCs_1",0.00291329925120986,0.00204649597562339,0.00445190380707778,0.459690070654672,-2.84966881177486,0.00714496286641778,0.0244432940166924
"ZI Pax6 Gaba","ZI Pax6 Gaba",0.0192534570348553,0.0218671978825825,0.012288389453943,1.77950072013432,2.76004945989603,0.0089499477806035,0.0290873302869614
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.0304411682089229,0.0262340371834611,0.0401577492964687,0.653274589414501,-2.68385071654873,0.0108365764290863,0.033541784185267
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0146628036693124,0.0166559521877425,0.00926187354493345,1.79833508921679,2.64305461675222,0.0120210014699504,0.0355165952521262
"PVN Mixed Glut","PVN Mixed Glut",0.00231940353608719,0.00180942841956311,0.00315362362987934,0.573761688750519,-2.58031422941454,0.0140234644436228,0.0396315299493688
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.011035224436401,0.0135679391716294,0.00532198117313906,2.54941510129894,2.49194635912775,0.0173658714221449,0.0457938926583208
"GPe-SI Sox6 Cyp26b1 Gaba","GPe-SI Sox6 Cyp26b1 Gaba",0.0051604722273497,0.00454196930178904,0.00678636106969098,0.669279051784355,-2.47645709784406,0.0179861808114377,0.0457938926583208
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0428166708132358,0.0373148245567523,0.059849290352343,0.62347981633656,-2.46881881336383,0.0183175570633283,0.0457938926583208
"VMH Nr5a1 Glut_1","VMH Nr5a1 Glut_1",0.00285711992680637,0.00304015316730141,0.0017726573007179,1.71502589139491,2.36137489710731,0.0236459204465664,0.0569253640380301
"PO-CEA-BST Meis2 Gaba","PO-CEA-BST Meis2 Gaba",0.0286915835346426,0.0251581668182392,0.0359635912163732,0.699545456038477,-2.30421641884825,0.0269491672427453,0.0625605668135159
"VMH Nr5a1 Glut_2","VMH Nr5a1 Glut_2",0.026861742682643,0.0289583021659092,0.019396221898362,1.49298674337989,2.17655407769626,0.0359962061619755,0.079870233460727
"STR-PAL Chst9 Gaba","STR-PAL Chst9 Gaba",0.0209388367669601,0.0191878726318558,0.0268532068007903,0.714546786691082,-2.16587724059776,0.0368631846741817,0.079870233460727
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0228328825611351,0.0205796312802555,0.0306020206496898,0.672492562364968,-1.97819817281106,0.0554183523174196,0.116199770988138
