"Cluster","Sac_Learner_Coef","Sac_Learner_P.Value","Sac_Learner_adj.P.Val","B_Sac_Learner","Sac_Learner_Ratio","Sex_Coef","Sex_P.Value","Sex_adj.P.Val","B_Sex","Sex_Ratio","AveExpr","PropMean_Learner","PropMean_NonLearner","PropMean_Male","PropMean_Female","Direct_Ratio_Learner_NonLearner","Direct_Ratio_Male_Female"
"ARC Mixed Glut",0.0228613321727291,0.00437369966912504,0.152595133200643,-1.92667715430792,1.01597248585617,0.00810516464057641,0.00376556808716774,0.244761925665903,-1.76213376017887,1.00563388298037,-5.56794605212993,0.00507465188952353,0.029584222897422,0.0171624683928463,0.00535293355723432,0.17153237072067,3.20617997764082
"TU-ARH Otp Six6 Gaba",-0.00895627344057669,0.00469523486771208,0.152595133200643,-1.98306680317603,0.993811214231921,-0.00593008041784047,0.0931684909522978,0.811076686193293,-4.31307532389792,0.995898017685354,-4.74533574160259,0.0136129050252355,0.00526012817976638,0.0111080681402683,0.0108269857956233,2.58794169267566,1.02596127398252
"HY NSCs_2",0.0160617796092382,0.0108150374895321,0.167783114309406,-2.62183742192175,1.01119538169882,0.00163459778557875,0.132706557425239,0.811076686193293,-4.57686726614234,1.00113365895249,-5.89063038777548,0.00517801371565997,0.0221307891534271,0.0131937895388712,0.00594570020844717,0.233973297552208,2.21904722342485
"LHA Pmch Glut",-0.0138010323858942,0.0151190824224395,0.167783114309406,-2.88159903250377,0.990479463340849,-0.00694155727945779,0.138765920166427,0.811076686193293,-4.60816679591056,0.995200035966798,-6.57767037068805,0.00187425189727611,0.000794470380807344,0.00158134446822585,0.00146261301530258,2.35912117374532,1.08117762639949
"STN-PSTN Pitx2 Glut",0.014530174421232,0.0152785603951478,0.167783114309406,-2.88739608224525,1.01012243818649,0.0133266207392576,0.139730225678593,0.811076686193293,-4.61322328274432,1.00928010520667,-5.78220175161788,0.00892772250597317,0.00258817325750755,0.00699996274021931,0.00685769774184159,3.44943001017278,1.02074530020618
"Lhx6-Lhx8 Gaba",-0.0124185266429957,0.015487672090099,0.167783114309406,-2.90009640795211,0.991429074883364,-0.00698453169730684,0.145821360664323,0.811076686193293,-4.64429395919629,0.995170391791138,-4.23118546864437,0.0136735279703558,0.0272370707084661,0.017759469733274,0.0181665773139173,0.502019035626531,0.977590298182841
"DMH Hmx2-Vgll1 Glut",-0.00455442333897901,0.029424378641105,0.223733636006472,-3.39112858792117,0.996848092027747,-0.00674896042802875,0.157446364343467,0.811076686193293,-4.70101730392427,0.995332902014398,-5.29255364637662,0.00784576211658093,0.00336231467029678,0.00615073544651585,0.0069346003614526,2.33344076504547,0.886963217189267
"HY NSCs_1",-0.0155247186525688,0.0298112119948118,0.223733636006472,-3.39905000378495,0.989296776559115,-0.00753410477099854,0.170947083527165,0.811076686193293,-4.75868394259145,0.994791368727692,-7.00314883525982,0.00153273710174306,0.0044800873163815,0.00331076977987412,0.00102547448372333,0.342122149302445,3.22852477796742
"VMH Nr5a1 Glut_1",-0.00677835538613848,0.03097850344705,0.223733636006472,-3.42829489817672,0.995312622280935,-0.00115113266363979,0.175618909260615,0.811076686193293,-4.77785414711169,0.999202413880784,-6.18490602619978,0.00385942291818368,0.00160315435650272,0.00318952125019341,0.00309570189676666,2.40739321359112,1.03030632682195
"TH Prkcd Grin2c Glut_8",-0.0254710974249553,0.0369067683920582,0.239893994548378,-3.56334938113177,0.98249972084511,0.00289220039531644,0.189353258302331,0.811076686193293,-4.83210226776556,1.00200673134534,-5.30509528733553,0.00640817577650994,0.00335790755214672,0.00504495519011142,0.00613831990020479,1.90838362194134,0.821878832014459
