"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Learner","PropMean.Non_Learner","PropRatio","Tstatistic","P.Value","FDR"
"PF Fzd5 Glut","PF Fzd5 Glut",0.0149955895324904,0.0179828225473644,0.000645958177104393,27.8389889388431,3.76191117918193,0.00119741055114877,0.0596699572915153
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0164657453690091,0.0128804433275014,0.0303632298874015,0.424211896272797,-3.47969690034932,0.00228429533651937,0.0596699572915153
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00577229607391015,0.00674507191005507,0.00227475883586411,2.9651811012717,3.31211749160799,0.00337597560134936,0.0596699572915153
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0304090128290441,0.0349264908153673,0.0107528382972605,3.24811829675384,3.21804925046618,0.00419732492608515,0.0596699572915153
"PO-MEA Slc17a7 Glut","PO-MEA Slc17a7 Glut",0.0161252882279206,0.0201153393839988,0.000199362699957238,100.898209084816,3.16509207473266,0.0047951276885849,0.0596699572915153
"Chat GABA","Chat GABA",0.00391525712251815,0.00317463504840163,0.00708290670900613,0.448210766967322,-3.09774615079123,0.00553480201408917,0.0596699572915153
"ZI Mixed Gaba","ZI Mixed Gaba",0.0397561088843838,0.0449080284500757,0.0184174053030558,2.43834718903778,3.00839979292249,0.0067864691538518,0.0596699572915153
"SI-MPO-LPO-ADP Lhx8 Gaba","SI-MPO-LPO-ADP Lhx8 Gaba",0.00745910645475789,0.00605950136396864,0.0140610862978772,0.430941197258953,-2.92297466860696,0.00825341224439408,0.0596699572915153
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00346647270926508,0.00234315062986606,0.00733537049180274,0.31943180409013,-2.92463661679778,0.00827813769070926,0.0596699572915153
"Pitx2 Glut","Pitx2 Glut",0.0123493090267568,0.0149509874740019,0.00110263800787912,13.5592890569404,2.87855798834725,0.0091799934294639,0.0596699572915153
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.0109410544886179,0.00907793540826568,0.0201575765003561,0.450348552967432,-2.79596942408177,0.0109716685811292,0.0648325870703092
"Hist Gaba","Hist Gaba",0.00280103375168294,0.00344385669608611,0.000135725179275043,25.3737494728759,2.7563497925038,0.0120501523050608,0.0652716583190794
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.0106160726721243,0.0132034110551638,0.000986785993893731,13.3802173286478,2.68091854599101,0.0142287457557268,0.0711437287786338
"PO-MEA-BST Mixed Gaba","PO-MEA-BST Mixed Gaba",0.0321731998328665,0.0284597652660532,0.0455350008161006,0.625008559481351,-2.44690132197518,0.0234744116651636,0.0971666245471809
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0189417973041985,0.0166616934040476,0.0268530265319605,0.620477300173849,-2.44230239135114,0.023705912566481,0.0971666245471809
"STR D1-D2 Gaba","STR D1-D2 Gaba",0.0426654699082313,0.0380702046133417,0.0609997788877135,0.624103977219657,-2.43812688717911,0.0239179383500753,0.0971666245471809
